// Incomplete, bruteforced from opcodes-918.txt and opcodes-919.txt and opcodes-920.txt and opcodes-913-546.txt
tostring_localised,45
stringwidth,534
string_distance,1176
format_datetime_from_minutes,1313
clanforumqfc_tostring,571
oc_name,572
oc_iop,928
oc_cost,299
oc_stackable,1063
oc_category,1345
oc_hasvarobj,423
oc_cert,127
oc_uncert,516
oc_wearpos,496
oc_wearpos2,827
oc_members,718
oc_param,612
oc_icursor,192
oc_find,634
oc_findnext,821
oc_minimenu_colour,1064
oc_tradeable,823
oc_placeholder,761
oc_desc,908
nc_param,1151
lc_param,854
struct_param,1197
seqlength,209
bas_getanim_ready,1157
chat_getfilter_public,1125
chat_gethistory_byuid,833
chat_lastuid,707
chat_clear,1048
chat_getfilter_private,1081
chat_playername,595
chat_getfilter_trade,399
chat_getnextuid,306
chat_getprevuid,949
chat_playername_unfiltered,310
chatcat_getdesc,152
chatcat_getsubcatcount,1370
chatcat_getsubcat,557
chatcat_getphrasecount,1393
chatcat_getphrase,292
chatphrase_gettext,494
chatphrase_getautoresponsecount,434
chatphrase_getautoresponse,777
chatcat_getsubcatshortcut,401
chatphrase_getdynamiccommandcount,1030
chatphrase_getdynamiccommand,1503
chatphrase_getdynamiccommandparam_enum,1524
chatphrase_find,871
chatphrase_findnext,1479
keyheld_alt,329
keyheld_ctrl,510
keyheld_shift,776
fullscreen_enter,260
fullscreen_modecount,1008
fullscreen_getmode,1103
fullscreen_lastmode,1032
getwindowmode,1452
getdefaultwindowmode,1158
spline_length,1328
minimenuopen,924
getclipboard,302
has_html5,569
has_nxt,482
clienttype,125
platformtype,221
cam_getangle_xa,304
cam_getangle_ya,1290
cam2_getcontrolmode,65
cam2_getlookatmode,458
cam2_getpositionmode,998
cam2_getpositionentity_angleoffsets,582
cam2_addeffect_shake,835
cam2_addeffect_ztilt,392
cam2_isenabled,39
login_reply,36
login_hoptime,1347
login_ban_duration,877
create_reply,765
create_email_validate_reply,567
create_name_validate_reply,194
create_suggest_name_reply,443
create_connect_reply,380
login_disallowresult,919
lobby_entergamereply,1506
lobby_enterlobbyreply,437
userflowflags,540
login_last_transfer_reply,966
login_inprogress,189
login_queue_position,57
login_disallowtrigger,293
login_accountappeal,227
viewport_geteffectivesize,1170
viewport_getzoom,1333
date_minutes,589
date_runeday,842
date_runeday_fromdate,592
date_isleapyear,59
date_runeday_todate,499
date_minutes_fromruneday,578
worldlist_fetch,1080
worldlist_start,301
worldlist_next,139
worldlist_switch,555
worldlist_specific,633
worldlist_specific_thisworld,1282
if_gettop,969
mec_text,1001
mec_category,1283
mec_param,1248
userdetail_quickchat,1516
userdetail_lobby_membership,796
userdetail_lobby_unreadmessages,214
userdetail_lobby_lastloginday,105
userdetail_lobby_emailstatus,477
userdetail_lobby_ccexpiry,303
userdetail_lobby_graceexpiry,286
userdetail_dob,148
userdetail_lobby_playage,1173
autosetup_getlevel,1240
video_advert_play,913
video_advert_has_finished,244
get_npc_vislevel,199
get_entity_screen_position,669
if_get_gamescreen,1459
if_set_gamescreen_enabled,1185
get_entity_overlay_height,1346
get_npc_stat,792
is_npc_active,1279
is_targeted_entity,438
npc_type,639
get_loc_screen_position,1231
get_obj_screen_position,350
get_loc_overlay_height,1462
get_obj_overlay_height,283
get_loc_bounding_box,371
get_obj_bounding_box,741
get_entity_bounding_box,263
quest_getname,1025
quest_getsortname,1357
quest_type,890
quest_getdifficulty,524
quest_getmembers,1122
quest_points,1292
quest_questreq_count,1337
quest_questreq,573
quest_pointsreq,248
quest_statreq_count,905
quest_statreq_stat,1267
quest_statreq_level,337
quest_started,797
quest_finished,464
quest_param,1359
sound_group_stop,1303
preload_percent,270
preload_progress,274
preload_download_complete,770
preload_download_downloadedsize,1372
preload_download_totalsize,1276
preload_download_rate,1476
shader_preload_throttle,621
fps_stats,500
worldmap_3dview_active,1490
worldmap_3dview_getcoordfine,1488
worldmap_getzoom,243
worldmap_getmap,703
worldmap_getmapname,1203
worldmap_getsize,1036
worldmap_getdisplayposition,1059
worldmap_getconfigorigin,153
worldmap_getconfigbounds,123
worldmap_listelement_start,1222
worldmap_listelement_next,610
worldmap_coordinmap,1424
worldmap_getconfigzoom,26
worldmap_isloaded,50
worldmap_getdisplaycoord,580
worldmap_getdisableelements,267
worldmap_getcurrentmap,255
player_group_find,1546
player_group_member_count,132
player_group_member_get_same_world_var,1226
player_group_member_get_rank,668
player_group_member_get_team,29
player_group_member_get_last_seen_node_id,385
player_group_member_get_status,1091
player_group_member_is_online,925
player_group_member_get_displayname,1083
player_group_member_is_owner,739
player_group_banned_count,716
player_group_banned_get_displayname,691
player_group_get_displayname,1007
player_group_get_max_size,223
player_group_get_overall_status,1420
player_group_get_owner_slot,529
ttv_login,390
ttv_login_getstate,1209
ttv_logout,407
ttv_library_getstate,882
ttv_library_request,60
ttv_stream_getstate,981
ttv_stream_start,939
ttv_stream_stop,210
ttv_stream_settitle,300
ttv_stream_getviewers,1128
ttv_stream_getquality,1206
ttv_chat_sendmessage,954
ttv_webcam_supported,526
ttv_webcam_getdevice_count,1071
ttv_webcam_getdevice_byindex,861
ttv_webcam_getdevice_byuniquename,485
ttv_webcam_getcap_count,1371
ttv_webcam_getcap_byindex,915
ttv_webcam_getcap_byuniqueid,1241
ttv_webcam_start,597
ttv_webcam_stop,630
ttv_webcam_flip,102
ttv_livestreams_update,1360
ttv_livestreams_getstream_start,1102
ttv_livestreams_getstream_next,96
ttv_hasprerequisites,487
os_ismac,1473
os_iswindows,850
os_islinux,346
os_physicalmemorysize,651
os_driver_outdated,17
os_driver_vendor,1104
telemetry_get_group_count,710
telemetry_get_group_index,307
telemetry_get_group_id,330
telemetry_get_row_count,177
telemetry_get_row_index,938
telemetry_get_row_id,1518
telemetry_is_row_pinned,1507
telemetry_get_column_count,1018
telemetry_get_column_index,287
telemetry_get_column_id,1483
telemetry_get_grid_value,1293
db_listall,1058
db_find,1364
db_find_with_count,215
db_findnext,740
db_getfield,1433
db_getfieldcount,935
