// Cache 1995 is Portuguese and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 877 is still covered by 1518, 1410, 2012 and 610.
if_getwidth,265
if_getheight,359
if_gethide,1245
if_getlayer,70
if_getparentlayer,608
if_getcolour,143
if_getscrollx,908
if_getscrolly,615
if_gettext,1040
if_getscrollwidth,342
if_getscrollheight,873
if_getmodelzoom,999
if_getmodelangle_x,441
if_getmodelangle_z,394
if_getmodelangle_y,947
if_gettrans,455
if_getmodelxof,451
if_getmodelyof,1097
if_getgraphic,629
if_get2dangle,414
if_getmodel,959
if_getgraphicdimensions,1147
if_getfontmetrics,64
if_getinvobject,1031
if_getinvcount,440
if_hassub,549
if_getnextsubid,1008
if_hassubmodal,15
if_hassuboverlay,662
if_gettargetmask,937
if_getop,238
if_getopbase,234
if_getcharindexatpos,1044
if_getcharposatindex,48
clientclock,308
inv_getobj,1094
inv_getnum,831
inv_total,482
inv_totalcat,124
inv_size,433
inv_stockbase,227
inv_getvar,916
stat,557
stat_base,809
stat_visible_xp,486
stat_base_actual,902
stat_visible_xp_actual,370
facing_fine,789
coord,644
coordx,907
coordy,990
coordz,1105
coordx_fine,751
coordy_fine,26
coordz_fine,855
coordlevel_fine,311
movecoord_fine,150
coord_gridtofine,630
map_members,54
map_preload,244
map_loadedpercent,211
invother_getobj,1123
invother_getnum,354
staffmodlevel,491
reboottimer,659
map_world,518
runenergy_visible,1109
runweight_visible,922
playermod,913
playermodlevel,37
playermember,804
comlevel_active,682
gender,476
map_quickchat,863
inv_freespace,800
inv_totalparam,1055
map_lang,642
movecoord,223
applet_hasfocus,1214
frombilling,421
get_mousex,294
get_mousey,412
get_active_minimenu_entry,263
get_minimenu_length,735
npc_find_active_minimenu_entry,763
get_currentcursor,732
get_mousebuttons,1275
get_minimenu_target,989
enum_string,519
enum,179
enum_hasoutput,1183
enum_getoutputcount,1140
enum_getreversecount,333
enum_getreverseindex,1015
friend_count,1067
friend_getname,719
friend_getworld,580
friend_getrank,81
friend_getnotes,313
friend_getworldflags,1239
friend_test,1242
friend_getworldname,658
clan_getchatdisplayname,1178
clan_getchatcount,721
clan_getchatusername,1174
clan_getchatuserworld,194
clan_getchatuserrank,1162
clan_getchatminkick,586
clan_getchatrank,425
ignore_count,502
ignore_getname,426
ignore_getnotes,434
ignore_test,465
clan_isself,324
clan_getchatownername,1192
clan_getchatuserworldname,717
friend_platform,449
friend_getslotfromname,725
playercountry,262
clan_getchatusername_unfiltered,538
ignore_getname_unfiltered,833
friend_is_referrer,920
friend_is_referred,209
activeclansettings_find_listened,599
activeclansettings_find_affined,462
activeclansettings_getclanname,1133
activeclansettings_getallowunaffined,470
activeclansettings_getranktalk,600
activeclansettings_getrankkick,97
activeclansettings_getaffinedcount,904
activeclansettings_getaffineddisplayname,176
activeclansettings_getaffinedrank,673
activeclansettings_getbannedcount,881
activeclansettings_getbanneddisplayname,192
activeclansettings_getcurrentowner_slot,890
activeclansettings_getaffinedslot,201
activeclansettings_getsortedaffinedslot,805
activeclanchannel_find_listened,98
activeclanchannel_find_affined,696
activeclanchannel_getclanname,1014
activeclanchannel_getrankkick,850
activeclanchannel_getranktalk,991
activeclanchannel_getusercount,9
activeclanchannel_getuserdisplayname,174
activeclanchannel_getuserrank,393
activeclanchannel_getuserworld,733
activeclanchannel_getuserslot,777
activeclanchannel_getsorteduserslot,758
clanprofile_find,322
stockmarket_getoffertype,981
stockmarket_getofferitem,377
stockmarket_getofferprice,1219
stockmarket_getoffercount,312
stockmarket_getoffercompletedcount,635
stockmarket_getoffercompletedgold,277
stockmarket_isofferempty,511
stockmarket_isofferfinished,53
stockmarket_isofferadding,1253
add,92
sub,770
multiply,141
divide,404
random,1153
randominc,749
interpolate,1100
addpercent,736
setbit,495
clearbit,266
testbit,895
modulo,13
pow,936
invpow,1196
and,1071
or,847
min,1125
max,877
scale,927
random_sound_pitch,1048
hsvtorgb,430
append_num,56
append,77
append_signnum,767
get_col_tag,681
lowercase,384
fromdate,169
text_gender,505
tostring,854
compare,727
paraheight,417
parawidth,1004
paraline,957
text_switch,810
escape,694
append_char,952
char_isprintable,547
char_isalphanumeric,32
char_isnumeric,862
string_length,127
substring,581
removetags,1252
string_indexof_char,807
string_indexof_string,872
char_tolowercase,492
char_touppercase,302
tostring_localised,78
stringwidth,1213
string_distance,1128
format_datetime_from_minutes,113
clanforumqfc_tostring,788
oc_name,933
oc_iop,825
oc_cost,2
oc_stackable,779
oc_category,525
oc_hasvarobj,960
oc_cert,521
oc_uncert,497
oc_wearpos,137
oc_wearpos2,120
oc_members,1051
oc_param,589
oc_icursor,224
oc_find,448
oc_findnext,1232
oc_minimenu_colour,871
nc_param,240
lc_param,834
struct_param,458
seqlength,68
bas_getanim_ready,33
chat_getfilter_public,953
chat_gethistory_byuid,184
chat_lastuid,1218
chat_clear,1139
chat_getfilter_private,232
chat_playername,1005
chat_getfilter_trade,939
chat_getnextuid,588
chat_getprevuid,252
chat_playername_unfiltered,317
chatcat_getdesc,797
chatcat_getsubcatcount,459
chatcat_getsubcat,210
chatcat_getphrasecount,50
chatcat_getphrase,826
chatphrase_gettext,1191
chatphrase_getautoresponsecount,858
chatphrase_getautoresponse,199
chatcat_getsubcatshortcut,75
chatphrase_getdynamiccommandcount,517
chatphrase_getdynamiccommand,785
chatphrase_getdynamiccommandparam_enum,938
chatphrase_find,1036
chatphrase_findnext,523
keyheld_alt,183
keyheld_ctrl,671
keyheld_shift,1082
fullscreen_enter,693
fullscreen_modecount,819
fullscreen_getmode,702
fullscreen_lastmode,760
getwindowmode,381
getdefaultwindowmode,296
spline_length,379
minimenuopen,446
getclipboard,340
has_html5,626
has_nxt,817
cam_getangle_xa,567
cam_getangle_ya,1020
cam2_getcontrolmode,705
cam2_getlookatmode,11
cam2_getpositionmode,766
cam2_getpositionentity_angleoffsets,949
cam2_addeffect_shake,966
cam2_addeffect_ztilt,1229
cam2_isenabled,1195
login_reply,1001
login_hoptime,729
login_ban_duration,427
create_reply,786
create_email_validate_reply,750
create_name_validate_reply,617
create_suggest_name_reply,816
create_connect_reply,1212
login_disallowresult,1248
lobby_entergamereply,350
lobby_enterlobbyreply,155
userflowflags,1080
create_under13,1228
login_last_transfer_reply,724
login_inprogress,145
login_queue_position,117
login_disallowtrigger,1070
login_accountappeal,811
viewport_geteffectivesize,674
viewport_getzoom,173
date_minutes,652
date_runeday,1255
date_runeday_fromdate,280
date_runeday_todate,606
date_minutes_fromruneday,1137
worldlist_fetch,912
worldlist_start,1246
worldlist_next,910
worldlist_switch,1171
worldlist_specific,998
worldlist_specific_thisworld,609
if_gettop,1188
mec_text,963
mec_category,298
mec_param,597
userdetail_quickchat,144
userdetail_lobby_membership,363
userdetail_lobby_unreadmessages,792
userdetail_lobby_lastloginday,134
userdetail_lobby_emailstatus,153
userdetail_lobby_ccexpiry,926
userdetail_lobby_graceexpiry,1056
userdetail_dob,944
userdetail_lobby_playage,411
autosetup_dosetup,840
autosetup_getlevel,1254
video_advert_play,994
video_advert_has_finished,301
get_npc_vislevel,158
get_entity_screen_position,1026
if_get_gamescreen,501
if_set_gamescreen_enabled,510
get_entity_overlay_height,132
get_npc_stat,868
is_npc_active,1184
is_targeted_entity,713
npc_type,86
get_loc_screen_position,964
get_obj_screen_position,1074
get_loc_overlay_height,771
get_obj_overlay_height,985
get_loc_bounding_box,10
get_obj_bounding_box,218
get_entity_bounding_box,699
quest_finished,647
sound_group_start,778
sound_group_stop,251
sound_vorbis_volume_rate_group,1208
preload_percent,119
shader_preload_throttle,1050
fps_stats,573
runjavascript,1141
worldmap_3dview_active,74
worldmap_3dview_getcoordfine,757
worldmap_getmap,882
worldmap_getmapname,624
worldmap_getsize,479
worldmap_getdisplayposition,1207
worldmap_getconfigorigin,1249
worldmap_getconfigbounds,568
worldmap_listelement_start,942
worldmap_listelement_next,533
worldmap_coordinmap,620
worldmap_getconfigzoom,356
worldmap_isloaded,1037
worldmap_getdisplaycoord,367
worldmap_getdisableelements,1042
worldmap_getcurrentmap,1096
player_group_find,679
player_group_member_count,41
player_group_member_get_same_world_var,362
player_group_member_get_rank,1230
player_group_member_get_team,1009
player_group_member_get_last_seen_node_id,669
player_group_member_get_status,776
player_group_member_is_online,1258
player_group_member_get_displayname,149
player_group_member_get_join_xp,1027
player_group_member_is_owner,220
player_group_banned_count,1033
player_group_banned_get_displayname,1244
player_group_get_displayname,249
player_group_get_max_size,982
player_group_get_overall_status,554
player_group_get_owner_slot,264
ttv_login,44
ttv_login_getstate,970
ttv_logout,203
ttv_library_getstate,637
ttv_library_request,66
ttv_stream_getstate,1098
ttv_stream_start,1201
ttv_stream_stop,940
ttv_stream_settitle,170
ttv_stream_getviewers,395
ttv_stream_getquality,935
ttv_chat_sendmessage,844
ttv_webcam_supported,27
ttv_webcam_getdevice_count,996
ttv_webcam_getdevice_byindex,1064
ttv_webcam_getdevice_byuniquename,842
ttv_webcam_getcap_count,860
ttv_webcam_getcap_byindex,594
ttv_webcam_getcap_byuniqueid,605
ttv_webcam_start,1060
ttv_webcam_stop,329
ttv_webcam_flip,1002
ttv_livestreams_update,993
ttv_livestreams_getstream_start,509
ttv_livestreams_getstream_next,1197
ttv_hasprerequisites,1187
os_ismac,1115
os_iswindows,574
os_islinux,91
os_physicalmemorysize,683
os_driver_outdated,463
os_driver_vendor,1021
telemetry_get_group_count,731
telemetry_get_group_index,678
telemetry_get_group_id,1077
telemetry_get_row_count,1198
telemetry_get_row_index,1024
telemetry_get_row_id,157
telemetry_is_row_pinned,453
telemetry_get_column_count,1138
telemetry_get_column_index,1211
telemetry_get_column_id,1262
telemetry_get_grid_value,270
db_find,288
db_find_with_count,1006
db_findnext,1243
db_getfield,24
db_getfieldcount,744
detail_brightness,1116
detail_removeroofs_option,401
detail_grounddecor_on,87
detail_flickering_on,406
detail_spotshadows_on,83
detail_hardshadows,661
detail_shadowquality,820
detail_lightdetail_high,1078
detail_waterdetail_high,424
detail_fog_on,167
detail_antialiasing,438
detail_antialiasing_quality,28
detail_stereo,291
detail_soundvol,576
detail_musicvol,57
detail_bgsoundvol,387
detail_removeroofs_option_override,685
detail_particles,995
detail_antialiasing_default,672
detail_buildarea,1039
detail_bloom,1095
detail_customcursors,305
detail_idleanims,115
detail_groundblending,422
detail_toolkit,544
detail_toolkit_default,646
detail_cpuusage,781
detail_texturing,843
detail_maxscreensize,1054
detail_speechvol,198
detail_loginvol,1172
detail_loadingscreentype,419
detail_drawdistance,593
detail_skydetail,99
detailget_brightness,638
detailget_removeroofs_option,1057
detailget_grounddecor_on,1186
detailget_flickering_on,837
detailget_spotshadows_on,164
detailget_hardshadows,341
detailget_shadowquality,619
detailget_lightdetail_high,591
detailget_waterdetail_high,162
detailget_fog_on,437
detailget_antialiasing,435
detailget_antialiasing_quality,447
detailget_stereo,345
detailget_soundvol,587
detailget_musicvol,906
detailget_bgsoundvol,830
detailget_particles,516
detailget_antialiasing_default,1126
detailget_bloom,836
detailget_idleanims,666
detailget_groundblending,442
detailget_toolkit,154
detailget_toolkit_default,21
detailget_cpuusage,540
detailget_texturing,1237
detailget_maxscreensize,897
detailget_speechvol,436
detailget_loginvol,152
detailget_safemode,30
detailget_canchoosesafemode,135
detailget_chosesafemode,1023
detailget_skydetail,1058
detailget_drawdistance,1256
detailcanmod_grounddecor,980
detailcanmod_spotshadows,1181
detailcanmod_hardshadows,653
detailcanmod_shadowquality,1215
detailcanmod_waterdetail,1272
detailcanmod_antialiasing,628
detailcanmod_antialiasing_quality,76
detailcanmod_particles,39
detailcanmod_buildarea,428
detailcanmod_bloom,309
detailcanmod_groundblending,118
detailcanmod_texturing,310
detailcanmod_maxscreensize,559
detailcanmod_toolkit_default,1041
detailcanmod_skydetail,403
detailcanset_hardshadows,248
detailcanset_shadowquality,222
detailcanset_waterdetail,948
detailcanset_antialiasing_quality,344
detailcanset_particles,1101
detailcanset_buildarea,808
detailcanset_bloom,563
detailcanset_texturing,319
detailcanset_maxscreensize,188
detailcanset_toolkit_default,60
detailcanset_skydetail,1260
detail_lightingquality,969
detail_antialiasingmode,407
detail_ambientocclusion,839
detail_reflections,1113
detail_vsync,769
detail_anisotropicfiltering,861
detail_volumetriclighting,803
detailget_lightingquality,700
detailget_antialiasingmode,1177
detailget_ambientocclusion,613
detailget_reflections,791
detailget_vsync,828
detailget_anisotropicfiltering,1092
detailget_volumetriclighting,1261
detailcanmod_lightingquality,1013
detailcanmod_antialiasingmode,365
detailcanmod_ambientocclusion,1157
detailcanmod_reflections,1081
detailcanmod_vsync,334
detailcanmod_anisotropicfiltering,231
detailcanmod_volumetriclighting,439
detailcanset_lightingquality,1167
detailcanset_antialiasingmode,202
detailcanset_ambientocclusion,506
detailcanset_reflections,1052
detailcanset_vsync,1088
detailcanset_anisotropicfiltering,1274
detailcanset_volumetriclighting,986
autosetup_setultra,1180
unknown_command_7,131
unknown_command_8,1224
autosetup_dosetupstatus,514
