// Incomplete, bruteforced from opcodes-844-1051.txt and opcodes-840-550.txt
// Cache 850 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 840 is still covered by 550 and 1911.
chatphrase_getdynamiccommandparam_enum,706
chatphrase_find,1123
chatphrase_findnext,442
keyheld_alt,191
keyheld_ctrl,583
keyheld_shift,610
worldmap_3dview_active,284
worldmap_3dview_getcoordfine,350
worldmap_getmap,541
worldmap_getmapname,740
worldmap_getsize,1077
worldmap_getdisplayposition,813
worldmap_getconfigorigin,767
worldmap_getconfigbounds,1111
worldmap_listelement_start,903
worldmap_listelement_next,1024
worldmap_coordinmap,207
worldmap_getconfigzoom,37
worldmap_isloaded,436
worldmap_getdisplaycoord,345
worldmap_getdisableelements,617
worldmap_getcurrentmap,333
fullscreen_enter,149
fullscreen_modecount,289
fullscreen_getmode,241
fullscreen_lastmode,1032
getwindowmode,474
getdefaultwindowmode,111
spline_length,1079
minimenuopen,1015
getclipboard,641
has_html5,255
cam_getangle_xa,229
cam_getangle_ya,996
cam2_getcontrolmode,248
cam2_getlookatmode,621
cam2_getpositionmode,422
cam2_getpositionentity_angleoffsets,1063
cam2_addeffect_shake,494
cam2_addeffect_ztilt,774
cam2_isenabled,880
login_reply,383
login_hoptime,925
login_ban_duration,1122
create_reply,131
create_email_validate_reply,571
create_name_validate_reply,1065
create_suggest_name_reply,526
create_connect_reply,269
login_disallowresult,586
lobby_entergamereply,870
lobby_enterlobbyreply,918
has_signonkey,45
userflowflags,971
create_under13,243
login_last_transfer_reply,580
login_inprogress,563
login_queue_position,193
login_disallowtrigger,644
login_accountappeal,591
detailget_brightness,402
detailget_removeroofs_option,861
detailget_grounddecor_on,141
detailget_flickering_on,196
detailget_spotshadows_on,1045
detailget_hardshadows,174
detailget_lightdetail_high,696
detailget_waterdetail_high,352
detailget_fog_on,235
detailget_antialiasing,572
detailget_antialiasing_quality,955
detailget_stereo,346
detailget_soundvol,619
detailget_musicvol,487
detailget_bgsoundvol,565
detailget_particles,74
detailget_antialiasing_default,205
detailget_bloom,330
detailget_idleanims,1112
detailget_groundblending,1049
detailget_toolkit,1102
detailget_toolkit_default,843
detailget_cpuusage,958
detailget_texturing,257
detailget_maxscreensize,42
detailget_speechvol,512
detailget_loginvol,548
detailget_safemode,258
detailget_canchoosesafemode,312
detailget_chosesafemode,424
detailget_skydetail,1055
detailget_drawdistance,1020
viewport_geteffectivesize,434
viewport_getzoom,410
date_minutes,272
date_runeday,1090
date_runeday_fromdate,473
date_runeday_todate,561
date_minutes_fromruneday,32
worldlist_fetch,974
worldlist_start,1150
worldlist_next,915
worldlist_switch,805
worldlist_specific,47
worldlist_specific_thisworld,668
if_gettop,1026
mec_text,994
mec_category,876
mec_param,737
userdetail_quickchat,179
userdetail_lobby_membership,532
userdetail_lobby_unreadmessages,531
userdetail_lobby_lastloginday,124
userdetail_lobby_emailstatus,455
userdetail_lobby_ccexpiry,212
userdetail_lobby_graceexpiry,231
userdetail_dob,878
userdetail_lobby_playage,726
autosetup_dosetup,960
autosetup_getlevel,1138
video_advert_play,911
video_advert_has_finished,253
detailcanmod_grounddecor,1193
detailcanmod_spotshadows,623
detailcanmod_hardshadows,1101
detailcanmod_antialiasing,1060
detailcanmod_antialiasing_quality,73
detailcanmod_particles,986
detailcanmod_buildarea,80
detailcanmod_bloom,327
detailcanmod_groundblending,60
detailcanmod_texturing,65
detailcanmod_maxscreensize,195
detailcanmod_toolkit_default,183
detailcanmod_skydetail,1114
