// Incomplete, bruteforced from opcodes-820-1181.txt and opcodes-820-1442.txt and opcodes-820-723.txt and opcodes-822-1203.txt
// Build 821 has no gamepack (the mirror lists 820 then 822), so this holds only what scripts show.
get_minimenu_length,1087
npc_find_active_minimenu_entry,796
get_currentcursor,813
get_mousebuttons,172
get_minimenu_target,71
enum_string,318
enum,979
enum_hasoutput,130
enum_getoutputcount,685
enum_getreversecount,663
enum_getreverseindex,673
friend_count,773
friend_getname,1040
friend_getworld,1083
friend_getrank,735
friend_getnotes,906
friend_getworldflags,856
friend_test,712
friend_getworldname,34
clan_getchatdisplayname,698
clan_getchatcount,12
clan_getchatusername,232
clan_getchatuserworld,598
clan_getchatuserrank,468
clan_getchatminkick,92
clan_getchatrank,1117
ignore_count,176
ignore_getname,362
ignore_getnotes,994
ignore_test,197
clan_isself,445
clan_getchatownername,851
clan_getchatuserworldname,320
friend_platform,681
friend_getslotfromname,933
playercountry,868
clan_getchatusername_unfiltered,85
ignore_getname_unfiltered,580
friend_is_referrer,1113
friend_is_referred,126
activeclansettings_find_listened,225
activeclansettings_find_affined,1154
activeclansettings_getclanname,917
activeclansettings_getallowunaffined,880
activeclansettings_getranktalk,730
activeclansettings_getrankkick,718
activeclansettings_getaffinedcount,797
activeclansettings_getaffineddisplayname,783
activeclansettings_getaffinedrank,230
activeclansettings_getbannedcount,84
activeclansettings_getbanneddisplayname,424
activeclansettings_getcurrentowner_slot,1071
activeclansettings_getaffinedslot,283
activeclansettings_getsortedaffinedslot,805
activeclanchannel_find_listened,549
activeclanchannel_find_affined,202
activeclanchannel_getclanname,258
activeclanchannel_getrankkick,60
activeclanchannel_getranktalk,1009
activeclanchannel_getusercount,1088
activeclanchannel_getuserdisplayname,896
activeclanchannel_getuserrank,910
activeclanchannel_getuserworld,6
activeclanchannel_getuserslot,606
activeclanchannel_getsorteduserslot,361
clanprofile_find,179
stockmarket_getoffertype,1135
stockmarket_getofferitem,552
stockmarket_getofferprice,299
stockmarket_getoffercount,45
stockmarket_getoffercompletedcount,251
stockmarket_getoffercompletedgold,454
stockmarket_isofferempty,977
stockmarket_isofferfinished,874
stockmarket_isofferadding,572
add,372
sub,343
multiply,123
divide,107
random,436
randominc,1185
interpolate,497
addpercent,981
setbit,355
clearbit,1101
testbit,141
modulo,178
pow,767
invpow,263
and,371
or,890
min,484
max,626
scale,732
random_sound_pitch,1186
hsvtorgb,180
append_num,467
append,1050
append_signnum,611
get_col_tag,397
lowercase,1130
fromdate,38
tostring,1167
compare,951
paraheight,953
parawidth,961
text_switch,319
escape,1076
append_char,464
char_isprintable,508
char_isalphanumeric,86
char_isnumeric,69
string_length,494
substring,1028
removetags,1174
string_indexof_char,613
string_indexof_string,1193
char_tolowercase,586
char_touppercase,161
tostring_localised,1021
stringwidth,1097
string_distance,1189
format_datetime_from_minutes,956
clanforumqfc_tostring,284
oc_name,695
oc_iop,620
oc_cost,759
oc_stackable,779
oc_category,1047
oc_hasvarobj,1067
oc_cert,5
oc_uncert,347
oc_wearpos,224
oc_wearpos2,530
oc_members,835
oc_param,710
oc_icursor,479
oc_find,1159
oc_findnext,456
oc_minimenu_colour,575
nc_param,317
struct_param,465
seqlength,729
bas_getanim_ready,1054
chat_gethistory_byuid,240
chat_getfilter_private,46
chat_playername,425
chat_getfilter_trade,1014
chat_getnextuid,48
chat_getprevuid,257
chat_playername_unfiltered,884
chatcat_getdesc,918
chatcat_getsubcatcount,181
chatcat_getsubcat,365
chatcat_getphrasecount,124
chatcat_getphrase,787
chatphrase_gettext,603
chatphrase_getautoresponsecount,838
chatphrase_getautoresponse,280
chatcat_getsubcatshortcut,481
chatphrase_getdynamiccommandcount,855
chatphrase_getdynamiccommand,1158
chatphrase_getdynamiccommandparam_enum,560
chatphrase_find,806
chatphrase_findnext,1128
keyheld_alt,693
keyheld_ctrl,61
keyheld_shift,1160
worldmap_3dview_active,1165
worldmap_3dview_getcoordfine,349
worldmap_getmap,310
worldmap_getmapname,547
worldmap_getsize,816
worldmap_getdisplayposition,139
worldmap_getconfigorigin,1095
worldmap_getconfigbounds,1034
worldmap_listelement_start,363
worldmap_listelement_next,211
worldmap_coordinmap,689
worldmap_getconfigzoom,279
worldmap_isloaded,127
worldmap_getdisplaycoord,625
worldmap_getdisableelements,1010
worldmap_getcurrentmap,829
fullscreen_enter,1025
fullscreen_modecount,462
fullscreen_getmode,395
fullscreen_lastmode,210
getwindowmode,912
getdefaultwindowmode,655
spline_length,1157
minimenuopen,148
getclipboard,629
java_version_supported,419
has_html5,88
cam_getangle_xa,864
cam_getangle_ya,631
cam2_getcontrolmode,245
cam2_getlookatmode,1042
cam2_getpositionmode,461
cam2_getpositionentity_angleoffsets,765
cam2_addeffect_shake,696
cam2_addeffect_ztilt,1044
cam2_isenabled,368
login_reply,144
login_hoptime,473
login_ban_duration,1134
create_reply,704
create_email_validate_reply,892
create_name_validate_reply,879
create_suggest_name_reply,1012
create_connect_reply,807
login_disallowresult,1
lobby_entergamereply,30
lobby_enterlobbyreply,339
has_signonkey,731
userflowflags,595
create_under13,1199
login_last_transfer_reply,51
login_inprogress,514
login_queue_position,293
login_disallowtrigger,870
login_accountappeal,795
detailget_brightness,487
detailget_removeroofs_option,633
detailget_grounddecor_on,909
detailget_flickering_on,28
detailget_spotshadows_on,644
detailget_hardshadows,867
detailget_lightdetail_high,407
detailget_waterdetail_high,1082
detailget_fog_on,998
detailget_antialiasing,286
detailget_antialiasing_quality,373
detailget_stereo,898
detailget_soundvol,1039
detailget_musicvol,903
detailget_bgsoundvol,583
detailget_particles,1080
detailget_antialiasing_default,412
detailget_bloom,743
detailget_idleanims,420
detailget_groundblending,261
detailget_toolkit,312
detailget_toolkit_default,117
detailget_cpuusage,877
detailget_texturing,590
detailget_maxscreensize,327
detailget_speechvol,509
detailget_loginvol,840
detailget_safemode,1074
detailget_canchoosesafemode,354
detailget_chosesafemode,359
detailget_skydetail,1100
detailget_drawdistance,1202
viewport_geteffectivesize,667
viewport_getzoom,62
date_minutes,442
date_runeday,1081
date_runeday_fromdate,281
date_runeday_todate,199
date_minutes_fromruneday,969
worldlist_fetch,97
worldlist_start,255
worldlist_next,160
worldlist_switch,198
worldlist_specific,344
worldlist_specific_thisworld,702
if_gettop,146
mec_text,288
mec_category,576
mec_param,480
userdetail_quickchat,963
userdetail_lobby_membership,90
userdetail_lobby_unreadmessages,722
userdetail_lobby_lastloginday,360
userdetail_lobby_emailstatus,189
userdetail_lobby_ccexpiry,542
userdetail_lobby_graceexpiry,469
userdetail_dob,871
userdetail_lobby_playage,348
autosetup_dosetup,573
autosetup_getlevel,42
video_advert_play,387
video_advert_has_finished,483
detailcanmod_grounddecor,106
detailcanmod_spotshadows,153
detailcanmod_hardshadows,131
detailcanmod_antialiasing,1146
detailcanmod_antialiasing_quality,785
detailcanmod_particles,524
detailcanmod_buildarea,1121
detailcanmod_bloom,428
detailcanmod_groundblending,1173
detailcanmod_texturing,499
detailcanmod_maxscreensize,18
detailcanmod_toolkit_default,824
detailcanmod_skydetail,14
detailcanset_antialiasing_quality,872
detailcanset_particles,660
detailcanset_buildarea,708
detailcanset_maxscreensize,82
detailcanset_toolkit_default,171
detailcanset_skydetail,21
get_npc_vislevel,265
get_entity_screen_position,111
if_get_gamescreen,330
if_set_gamescreen_enabled,1007
get_entity_overlay_height,987
get_npc_stat,943
is_targeted_entity,810
npc_type,91
get_loc_screen_position,164
get_obj_screen_position,133
get_loc_overlay_height,1093
get_obj_overlay_height,236
get_loc_bounding_box,720
get_obj_bounding_box,65
get_entity_bounding_box,554
quest_finished,186
sound_group_start,33
sound_group_stop,1179
sound_vorbis_volume_rate_group,1075
preload_percent,418
shader_preload_throttle,441
fps_stats,950
runjavascript,637
player_group_find,752
player_group_member_count,781
player_group_member_get_same_world_var,706
player_group_member_get_rank,135
player_group_member_get_team,1181
player_group_member_get_last_seen_node_id,74
player_group_member_get_status,9
player_group_member_is_online,1017
player_group_member_get_displayname,861
player_group_member_is_owner,1029
player_group_banned_count,340
player_group_banned_get_displayname,1148
player_group_get_displayname,957
player_group_get_max_size,801
player_group_get_overall_status,187
player_group_get_owner_slot,495
ttv_login,463
ttv_login_getstate,753
ttv_logout,615
ttv_library_getstate,237
ttv_library_request,1019
ttv_stream_getstate,1177
ttv_stream_start,1096
ttv_stream_stop,954
ttv_stream_settitle,679
ttv_stream_getviewers,766
ttv_stream_getquality,960
ttv_chat_sendmessage,214
ttv_webcam_supported,451
ttv_webcam_getdevice_count,609
ttv_webcam_getdevice_byindex,31
ttv_webcam_getdevice_byuniquename,490
ttv_webcam_getcap_count,643
ttv_webcam_getcap_byindex,775
ttv_webcam_getcap_byuniqueid,1053
ttv_webcam_start,168
ttv_webcam_stop,936
ttv_webcam_flip,592
ttv_livestreams_update,741
ttv_livestreams_getstream_start,300
ttv_livestreams_getstream_next,229
ttv_hasprerequisites,452
os_ismac,518
os_iswindows,568
os_islinux,926
os_physicalmemorysize,1122
