// Incomplete, bruteforced from opcodes-814-1169.txt and opcodes-809-1183.txt
// Build 813 has no gamepack (the mirror lists 812 then 814), so this holds only what scripts show.
detail_maxscreensize,643
detail_speechvol,1012
detail_loginvol,278
detail_loadingscreentype,629
detail_drawdistance,309
detail_skydetail,262
viewport_setfov,348
viewport_setzoom,513
viewport_clampfov,625
worldlist_sort,233
worldlist_pingworlds,192
force_interface_drag,161
cancel_interface_drag,449
targetmode_active,392
targetmode_cancel,476
autosetup_sethigh,824
autosetup_setmedium,389
autosetup_setlow,965
autosetup_setmin,88
autosetup_setcustom,118
autosetup_blackflaglast,290
video_advert_force_remove,921
video_advert_allow_skip,353
bug_report,45
array_sort,234
cc_find,673
if_find,333
cc_getx,1144
cc_gety,481
cc_getwidth,718
cc_getheight,639
cc_gethide,314
cc_getlayer,547
cc_getparentlayer,416
cc_getcolour,305
cc_getscrollx,424
cc_getscrolly,423
cc_gettext,767
cc_getmodelzoom,867
cc_getmodelangle_x,151
cc_getmodelangle_z,454
cc_getmodelangle_y,24
cc_gettrans,56
cc_getmodelxof,1136
cc_getmodelyof,370
cc_getgraphic,771
cc_param,1060
cc_get2dangle,327
cc_getgraphicdimensions,1133
cc_getfontmetrics,340
cc_getinvobject,720
cc_getinvcount,59
cc_getid,98
cc_gettargetmask,135
cc_getop,977
cc_getopbase,1113
if_getx,1099
if_gety,1023
if_getwidth,397
if_getheight,214
if_gethide,139
if_getlayer,149
if_getparentlayer,692
if_getcolour,43
if_getscrollx,923
if_getscrolly,127
if_gettext,762
if_getscrollwidth,560
if_getscrollheight,365
if_getmodelzoom,726
if_getmodelangle_x,62
if_getmodelangle_z,63
if_getmodelangle_y,891
if_gettrans,142
if_getmodelxof,255
if_getmodelyof,21
if_getgraphic,1114
if_get2dangle,15
if_getmodel,316
if_getgraphicdimensions,26
if_getfontmetrics,933
if_getinvobject,499
if_getinvcount,535
if_hassub,107
if_getnextsubid,870
if_hassubmodal,688
if_hassuboverlay,715
if_gettargetmask,359
if_getop,976
if_getopbase,668
if_getcharindexatpos,894
if_getcharposatindex,377
clientclock,205
inv_getobj,557
inv_getnum,427
inv_total,140
inv_totalcat,987
inv_size,222
inv_stockbase,460
stat,154
stat_base,328
stat_visible_xp,816
stat_base_actual,833
stat_visible_xp_actual,615
coord,613
coordx,357
coordy,974
coordz,1097
coordx_fine,1036
coordy_fine,516
coordz_fine,666
movecoord_fine,768
coord_gridtofine,409
map_members,724
map_preload,1017
map_loadedpercent,1100
invother_getobj,1035
invother_getnum,55
staffmodlevel,904
reboottimer,606
map_world,953
runenergy_visible,126
runweight_visible,858
playermod,856
playermodlevel,17
playermember,1065
comlevel_active,997
gender,640
map_quickchat,865
inv_freespace,89
inv_totalparam,320
map_lang,630
movecoord,651
applet_hasfocus,403
frombilling,350
get_mousex,176
get_mousey,243
get_active_minimenu_entry,167
get_minimenu_length,1087
npc_find_active_minimenu_entry,379
get_currentcursor,112
get_mousebuttons,983
get_minimenu_target,131
enum_string,299
enum,80
enum_hasoutput,804
enum_getoutputcount,951
enum_getreversecount,146
enum_getreverseindex,646
friend_count,574
friend_getname,996
friend_getworld,505
friend_getrank,749
friend_getnotes,37
friend_getworldflags,672
friend_test,937
friend_getworldname,155
clan_getchatdisplayname,344
clan_getchatcount,893
clan_getchatusername,11
clan_getchatuserworld,198
clan_getchatuserrank,303
clan_getchatminkick,179
clan_getchatrank,817
ignore_count,1027
ignore_getname,382
ignore_getnotes,1143
ignore_test,408
clan_isself,887
clan_getchatownername,747
clan_getchatuserworldname,69
friend_platform,1018
friend_getslotfromname,213
playercountry,231
clan_getchatusername_unfiltered,661
ignore_getname_unfiltered,453
friend_is_referrer,591
friend_is_referred,1079
