// Cache 848 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 869 is still covered by its seven other caches.
if_getcolour,660
if_getscrollx,1232
if_getscrolly,209
if_gettext,452
if_getscrollwidth,714
if_getscrollheight,457
if_getmodelzoom,357
if_getmodelangle_x,1137
if_getmodelangle_z,1148
if_getmodelangle_y,370
if_gettrans,1151
if_getmodelxof,735
if_getmodelyof,1165
if_getgraphic,330
if_get2dangle,792
if_getmodel,232
if_getgraphicdimensions,1094
if_getfontmetrics,60
if_getinvobject,29
if_getinvcount,434
if_hassub,1036
if_getnextsubid,283
if_hassubmodal,450
if_hassuboverlay,966
if_gettargetmask,4
if_getop,163
if_getopbase,996
if_getcharindexatpos,534
if_getcharposatindex,451
clientclock,657
inv_getobj,164
inv_getnum,901
inv_total,947
inv_totalcat,665
inv_size,926
inv_stockbase,661
inv_getvar,132
stat,628
stat_base,337
stat_visible_xp,1173
stat_base_actual,1239
stat_visible_xp_actual,769
facing_fine,464
coord,173
coordx,755
coordy,571
coordz,1196
coordx_fine,830
coordy_fine,367
coordz_fine,845
coordlevel_fine,578
movecoord_fine,505
coord_gridtofine,1157
map_members,1040
map_preload,964
map_loadedpercent,97
invother_getobj,740
invother_getnum,864
staffmodlevel,1247
reboottimer,725
map_world,141
runenergy_visible,128
runweight_visible,997
playermod,736
playermodlevel,978
playermember,1226
comlevel_active,722
gender,1161
map_quickchat,616
inv_freespace,1018
inv_totalparam,1125
map_lang,899
movecoord,102
applet_hasfocus,553
frombilling,744
get_mousex,1084
get_mousey,1158
get_active_minimenu_entry,959
get_minimenu_length,745
npc_find_active_minimenu_entry,863
get_currentcursor,1174
get_mousebuttons,811
get_minimenu_target,234
enum_string,894
enum,741
enum_hasoutput,637
enum_getoutputcount,83
enum_getreversecount,11
enum_getreverseindex,999
friend_count,411
friend_getname,406
friend_getworld,1202
friend_getrank,188
friend_getnotes,389
friend_getworldflags,702
friend_test,754
friend_getworldname,496
clan_getchatdisplayname,778
clan_getchatcount,1
clan_getchatusername,560
clan_getchatuserworld,619
clan_getchatuserrank,1028
clan_getchatminkick,76
clan_getchatrank,168
ignore_count,1118
ignore_getname,923
ignore_getnotes,227
ignore_test,352
clan_isself,867
clan_getchatownername,436
clan_getchatuserworldname,1027
friend_platform,133
friend_getslotfromname,1224
playercountry,511
clan_getchatusername_unfiltered,693
ignore_getname_unfiltered,1160
friend_is_referrer,1071
friend_is_referred,216
activeclansettings_find_listened,244
activeclansettings_find_affined,378
activeclansettings_getclanname,391
activeclansettings_getallowunaffined,972
activeclansettings_getranktalk,328
activeclansettings_getrankkick,685
activeclansettings_getaffinedcount,645
activeclansettings_getaffineddisplayname,129
activeclansettings_getaffinedrank,291
activeclansettings_getbannedcount,738
activeclansettings_getbanneddisplayname,362
activeclansettings_getcurrentowner_slot,1176
activeclansettings_getaffinedslot,469
activeclansettings_getsortedaffinedslot,668
activeclanchannel_find_listened,743
activeclanchannel_find_affined,247
activeclanchannel_getclanname,854
activeclanchannel_getrankkick,828
activeclanchannel_getranktalk,746
activeclanchannel_getusercount,382
activeclanchannel_getuserdisplayname,10
activeclanchannel_getuserrank,683
activeclanchannel_getuserworld,253
activeclanchannel_getuserslot,898
activeclanchannel_getsorteduserslot,123
clanprofile_find,621
stockmarket_getoffertype,1015
stockmarket_getofferitem,14
stockmarket_getofferprice,340
stockmarket_getoffercount,858
stockmarket_getoffercompletedcount,424
stockmarket_getoffercompletedgold,623
stockmarket_isofferempty,431
stockmarket_isofferfinished,87
stockmarket_isofferadding,446
add,632
sub,1031
multiply,152
divide,807
random,633
randominc,1000
interpolate,917
addpercent,910
setbit,350
clearbit,377
testbit,941
modulo,238
pow,194
invpow,137
and,176
or,666
min,827
max,426
scale,763
random_sound_pitch,593
hsvtorgb,530
append_num,92
append,916
append_signnum,407
get_col_tag,240
lowercase,812
fromdate,402
text_gender,509
tostring,1208
compare,1194
paraheight,343
parawidth,539
