// Incomplete, bruteforced from opcodes-910-1730.txt
chatcat_getphrasecount,1382
chatcat_getphrase,1078
chatphrase_gettext,874
chatphrase_getautoresponsecount,428
chatphrase_getautoresponse,73
chatcat_getsubcatshortcut,1043
chatphrase_getdynamiccommandcount,388
chatphrase_getdynamiccommand,246
chatphrase_getdynamiccommandparam_enum,254
chatphrase_find,1153
chatphrase_findnext,1045
keyheld_alt,457
keyheld_ctrl,220
keyheld_shift,1414
fullscreen_enter,392
fullscreen_modecount,733
fullscreen_getmode,676
fullscreen_lastmode,467
getwindowmode,1147
getdefaultwindowmode,603
spline_length,206
minimenuopen,926
getclipboard,1352
has_html5,507
has_nxt,1269
clienttype,1416
cam_getangle_xa,348
cam_getangle_ya,413
cam2_getcontrolmode,915
cam2_getlookatmode,628
cam2_getpositionmode,46
cam2_getpositionentity_angleoffsets,396
cam2_addeffect_shake,1366
cam2_addeffect_ztilt,1170
cam2_isenabled,1426
login_reply,1218
login_hoptime,604
login_ban_duration,187
create_reply,95
create_email_validate_reply,984
create_name_validate_reply,884
create_suggest_name_reply,1006
create_connect_reply,1012
login_disallowresult,945
lobby_entergamereply,437
lobby_enterlobbyreply,928
userflowflags,801
create_under13,1069
login_last_transfer_reply,791
login_inprogress,1402
login_queue_position,964
login_disallowtrigger,20
login_accountappeal,368
viewport_geteffectivesize,1248
viewport_getzoom,425
date_minutes,23
date_runeday,387
date_runeday_fromdate,768
date_isleapyear,171
date_runeday_todate,300
date_minutes_fromruneday,1239
worldlist_fetch,53
worldlist_start,814
worldlist_next,17
worldlist_switch,1070
worldlist_specific,1085
worldlist_specific_thisworld,1249
if_gettop,1094
mec_text,357
mec_category,1124
mec_param,792
userdetail_quickchat,570
userdetail_lobby_membership,421
userdetail_lobby_unreadmessages,821
userdetail_lobby_lastloginday,431
userdetail_lobby_emailstatus,32
userdetail_lobby_ccexpiry,720
userdetail_lobby_graceexpiry,329
userdetail_dob,1340
userdetail_lobby_playage,30
autosetup_dosetup,1173
autosetup_getlevel,776
video_advert_play,316
video_advert_has_finished,609
get_npc_vislevel,42
get_entity_screen_position,543
if_get_gamescreen,1261
if_set_gamescreen_enabled,1055
get_entity_overlay_height,51
get_npc_stat,88
is_npc_active,685
is_targeted_entity,1276
npc_type,107
get_loc_screen_position,804
get_obj_screen_position,1252
get_loc_overlay_height,1310
get_obj_overlay_height,809
get_loc_bounding_box,21
get_obj_bounding_box,1319
get_entity_bounding_box,250
quest_getname,257
quest_getsortname,701
quest_type,1216
quest_getdifficulty,1254
quest_getmembers,494
quest_points,995
quest_questreq_count,574
quest_questreq,280
quest_pointsreq,1047
quest_statreq_count,456
quest_statreq_stat,1018
quest_statreq_level,1350
quest_started,60
quest_finished,1190
quest_param,1052
sound_group_start,22
sound_group_stop,1280
sound_vorbis_volume_rate_group,608
preload_percent,76
shader_preload_throttle,358
fps_stats,369
worldmap_3dview_active,151
worldmap_3dview_getcoordfine,54
worldmap_getzoom,1374
worldmap_getmap,335
worldmap_getmapname,416
worldmap_getsize,838
worldmap_getdisplayposition,904
worldmap_getconfigorigin,867
worldmap_getconfigbounds,197
worldmap_listelement_start,79
worldmap_listelement_next,211
worldmap_coordinmap,282
worldmap_getconfigzoom,1219
worldmap_isloaded,1000
worldmap_getdisplaycoord,1202
worldmap_getdisableelements,558
worldmap_getcurrentmap,934
player_group_find,1053
player_group_member_count,397
player_group_member_get_same_world_var,288
player_group_member_get_rank,693
player_group_member_get_team,286
player_group_member_get_last_seen_node_id,492
player_group_member_get_status,325
player_group_member_is_online,610
player_group_member_get_displayname,862
player_group_member_is_owner,784
player_group_banned_count,843
player_group_banned_get_displayname,654
player_group_get_displayname,617
player_group_get_max_size,930
player_group_get_overall_status,307
player_group_get_owner_slot,503
ttv_login,160
ttv_login_getstate,145
ttv_logout,163
ttv_library_getstate,339
ttv_library_request,700
ttv_stream_getstate,698
ttv_stream_start,1003
ttv_stream_stop,479
ttv_stream_settitle,1291
ttv_stream_getviewers,1073
ttv_stream_getquality,173
ttv_chat_sendmessage,921
ttv_webcam_supported,1408
ttv_webcam_getdevice_count,748
ttv_webcam_getdevice_byindex,1015
ttv_webcam_getdevice_byuniquename,464
ttv_webcam_getcap_count,797
ttv_webcam_getcap_byindex,252
ttv_webcam_getcap_byuniqueid,664
ttv_webcam_start,1302
ttv_webcam_stop,1317
ttv_webcam_flip,1285
ttv_livestreams_update,868
ttv_livestreams_getstream_start,323
ttv_livestreams_getstream_next,1341
ttv_hasprerequisites,1212
os_ismac,320
os_iswindows,401
os_islinux,390
os_physicalmemorysize,1312
os_driver_outdated,80
os_driver_vendor,1357
telemetry_get_group_count,1106
telemetry_get_group_index,9
telemetry_get_group_id,1306
telemetry_get_row_count,749
telemetry_get_row_index,516
telemetry_get_row_id,675
telemetry_is_row_pinned,1114
telemetry_get_column_count,153
telemetry_get_column_index,393
telemetry_get_column_id,141
telemetry_get_grid_value,1234
db_listall,328
db_find,831
db_find_with_count,1149
db_findnext,469
db_getfield,2
db_getfieldcount,731
detail_brightness,1066
detail_removeroofs_option,319
detail_grounddecor_on,133
detail_flickering_on,241
detail_spotshadows_on,729
detail_hardshadows,773
detail_shadowquality,715
detail_lightdetail_high,991
detail_waterdetail_high,324
detail_fog_on,642
detail_antialiasing,120
detail_antialiasing_quality,1336
detail_stereo,771
detail_soundvol,1037
detail_musicvol,818
detail_bgsoundvol,102
detail_removeroofs_option_override,981
detail_particles,233
detail_antialiasing_default,4
detail_buildarea,152
detail_bloom,362
detail_customcursors,78
detail_idleanims,668
detail_groundblending,587
detail_toolkit,658
detail_toolkit_default,31
detail_cpuusage,935
detail_texturing,719
detail_maxscreensize,219
detail_speechvol,519
detail_loginvol,1119
detail_loadingscreentype,143
detail_drawdistance,1344
detail_skydetail,480
detailget_brightness,1361
detailget_removeroofs_option,1345
detailget_grounddecor_on,576
detailget_flickering_on,1051
detailget_spotshadows_on,45
detailget_hardshadows,419
detailget_shadowquality,1067
detailget_lightdetail_high,888
detailget_waterdetail_high,815
detailget_fog_on,1165
detailget_antialiasing,15
detailget_antialiasing_quality,196
detailget_stereo,881
detailget_soundvol,1264
detailget_musicvol,597
detailget_bgsoundvol,1060
detailget_particles,210
detailget_antialiasing_default,1286
detailget_bloom,1255
detailget_idleanims,350
detailget_groundblending,1329
detailget_toolkit,423
detailget_toolkit_default,293
detailget_cpuusage,128
detailget_texturing,295
detailget_maxscreensize,1387
detailget_speechvol,657
detailget_loginvol,687
detailget_safemode,526
detailget_chosesafemode,1333
detailget_skydetail,1356
detailget_drawdistance,1354
detailcanmod_grounddecor,1213
detailcanmod_spotshadows,1030
detailcanmod_hardshadows,944
detailcanmod_shadowquality,1089
detailcanmod_waterdetail,636
detailcanmod_antialiasing,136
detailcanmod_antialiasing_quality,1042
detailcanmod_particles,367
detailcanmod_buildarea,106
detailcanmod_bloom,407
detailcanmod_groundblending,415
detailcanmod_texturing,304
detailcanmod_maxscreensize,1385
detailcanmod_toolkit_default,191
detailcanmod_skydetail,483
detailcanset_grounddecor,338
detailcanset_hardshadows,1396
detailcanset_shadowquality,1061
detailcanset_waterdetail,929
detailcanset_antialiasing_quality,266
detailcanset_particles,1029
detailcanset_buildarea,472
detailcanset_bloom,317
detailcanset_texturing,1298
detailcanset_maxscreensize,1395
detailcanset_skydetail,1039
detail_lightingquality,665
detail_antialiasingmode,461
detail_ambientocclusion,374
detail_reflections,1380
detail_vsync,524
detail_anisotropicfiltering,652
detail_volumetriclighting,808
detail_maxforegroundfps,247
detail_maxbackgroundfps,162
detail_dof,885
detailget_lightingquality,315
detailget_antialiasingmode,805
detailget_ambientocclusion,1388
detailget_reflections,341
detailget_vsync,1121
