// Cache 2008 is German and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 839 is still covered by its seven other caches.
if_debug_button6,203
if_debug_button7,626
if_debug_button8,452
if_debug_button9,1025
if_debug_button10,144
if_debug_target,804
force_interface_drag,807
cancel_interface_drag,219
targetmode_active,43
targetmode_cancel,1114
autosetup_sethigh,1198
autosetup_setmedium,238
autosetup_setlow,1004
autosetup_setmin,457
autosetup_setcustom,721
autosetup_blackflaglast,139
video_advert_force_remove,645
video_advert_allow_skip,408
bug_report,1129
array_sort,440
cc_find,302
if_find,783
cc_getx,387
cc_gety,471
cc_getwidth,993
cc_getheight,801
cc_gethide,102
cc_getlayer,393
cc_getparentlayer,552
cc_getcolour,1134
cc_getscrollx,50
cc_getscrolly,579
cc_gettext,661
cc_getscrollwidth,662
cc_getscrollheight,402
cc_getmodelzoom,1187
cc_getmodelangle_x,1131
cc_getmodelangle_z,788
cc_getmodelangle_y,1119
cc_gettrans,729
cc_getmodelxof,998
cc_getmodelyof,287
cc_getgraphic,569
cc_param,301
cc_get2dangle,1015
cc_getmodel,6
cc_getfontgraphic,63
cc_getgraphicdimensions,22
cc_getfontmetrics,1138
cc_getinvobject,1122
cc_getinvcount,631
cc_getid,216
cc_gettargetmask,272
cc_getop,732
cc_getopbase,4
cc_getcharindexatpos,947
cc_getcharposatindex,1199
if_getx,796
if_gety,211
if_getwidth,407
if_getheight,376
if_gethide,89
if_getlayer,695
if_getparentlayer,1049
if_getcolour,91
if_getscrollx,935
if_getscrolly,477
if_gettext,991
if_getscrollwidth,154
if_getscrollheight,740
if_getmodelzoom,833
if_getmodelangle_x,310
if_getmodelangle_z,242
if_getmodelangle_y,644
if_gettrans,906
if_getmodelxof,1
if_getmodelyof,461
if_getgraphic,720
if_get2dangle,829
if_getmodel,425
if_getfontgraphic,810
if_getgraphicdimensions,663
if_getfontmetrics,689
if_getinvobject,864
if_getinvcount,465
if_hassub,337
if_getnextsubid,246
if_hassubmodal,54
if_hassuboverlay,837
if_gettargetmask,963
if_getop,593
if_getopbase,295
if_getcharindexatpos,470
if_getcharposatindex,1067
clientclock,789
inv_getobj,738
inv_getnum,696
inv_total,634
inv_totalcat,528
inv_size,823
inv_stockbase,982
stat,208
stat_base,619
stat_visible_xp,684
stat_base_actual,1016
stat_visible_xp_actual,404
facing_fine,510
coord,762
coordx,871
coordy,39
coordz,1161
coord_fine,1180
coordx_fine,488
coordy_fine,908
coordz_fine,869
coordlevel_fine,176
movecoord_fine,642
coord_gridtofine,580
coord_finetogrid,1144
map_members,1104
map_preload,1121
map_loadedpercent,241
invother_getobj,1081
invother_getnum,1091
invother_total,1156
staffmodlevel,1102
reboottimer,483
map_world,962
runenergy_visible,323
runweight_visible,316
playermod,853
playermodlevel,989
playermember,841
comlevel_active,1141
gender,330
map_quickchat,1007
inv_freespace,1002
inv_totalparam,1125
inv_totalparam_stack,453
map_lang,276
movecoord,527
affiliate,943
profile_cpu,1128
playerdemo,533
applet_hasfocus,231
frombilling,967
get_mousex,165
get_mousey,450
get_active_minimenu_entry,584
