// Incomplete, bruteforced from opcodes-783-1109.txt and opcodes-787-521.txt and opcodes-742-544.txt and opcodes-780-770.txt and opcodes-777-2001.txt
// Cache 858 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 780 is still covered by 770 and 1002.
text_gender,276
tostring,886
compare,729
paraheight,118
parawidth,181
text_switch,147
escape,945
append_char,271
char_isprintable,455
char_isalphanumeric,64
char_isnumeric,135
string_length,531
substring,1116
removetags,606
string_indexof_char,520
string_indexof_string,1082
char_tolowercase,544
char_touppercase,286
tostring_localised,267
stringwidth,878
string_distance,250
format_datetime_from_minutes,635
clanforumqfc_tostring,345
oc_name,820
oc_iop,353
oc_cost,432
oc_stackable,1084
oc_category,605
oc_cert,395
oc_uncert,743
oc_wearpos,253
oc_wearpos2,525
oc_members,156
oc_param,648
oc_icursor,300
oc_find,182
oc_findnext,398
oc_minimenu_colour,210
nc_param,1018
struct_param,471
bas_getanim_ready,1002
chat_gethistory_byuid,927
chat_getfilter_private,260
chat_playername,292
chat_getfilter_trade,684
chat_playername_unfiltered,608
chatcat_getdesc,792
chatcat_getsubcatcount,336
chatcat_getsubcat,1043
chatcat_getphrasecount,799
chatcat_getphrase,917
chatphrase_gettext,724
chatphrase_getautoresponsecount,708
chatphrase_getautoresponse,905
chatcat_getsubcatshortcut,675
chatphrase_getdynamiccommandcount,92
chatphrase_getdynamiccommand,63
chatphrase_getdynamiccommandparam_enum,1100
chatphrase_find,275
chatphrase_findnext,97
keyheld_alt,835
keyheld_ctrl,127
keyheld_shift,642
worldmap_3dview_active,1058
worldmap_3dview_getcoordfine,853
worldmap_getmap,417
worldmap_getmapname,557
worldmap_getsize,88
worldmap_getdisplayposition,291
worldmap_getconfigorigin,133
worldmap_getconfigbounds,359
worldmap_listelement_start,564
worldmap_listelement_next,464
worldmap_coordinmap,615
worldmap_getconfigzoom,1023
worldmap_isloaded,323
worldmap_getdisplaycoord,671
worldmap_getdisableelements,770
worldmap_getcurrentmap,125
fullscreen_enter,342
fullscreen_modecount,5
fullscreen_getmode,842
fullscreen_lastmode,350
getwindowmode,725
getdefaultwindowmode,248
spline_length,1073
minimenuopen,57
getclipboard,726
java_version_supported,996
has_html5,203
cam_getangle_xa,265
cam_getangle_ya,685
cam2_getcontrolmode,453
cam2_getlookatmode,441
cam2_getpositionmode,728
cam2_getpositionentity_angleoffsets,222
cam2_addeffect_shake,410
cam2_isenabled,619
login_hoptime,266
login_ban_duration,890
create_reply,105
create_email_validate_reply,211
create_name_validate_reply,814
create_suggest_name_reply,540
