// Cache 636 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 873 is still covered by 969, 971 and 1052.
autosetup_blackflaglast,1132
video_advert_force_remove,52
video_advert_allow_skip,718
bug_report,768
array_sort,1020
cc_find,178
if_find,1189
cc_getx,984
cc_gety,294
cc_getwidth,32
cc_getheight,100
cc_gethide,309
cc_getlayer,790
cc_getparentlayer,829
cc_getcolour,1158
cc_getscrollx,188
cc_getscrolly,1109
cc_gettext,813
cc_getmodelzoom,763
cc_getmodelangle_x,423
cc_getmodelangle_z,451
cc_getmodelangle_y,798
cc_gettrans,1087
cc_getmodelxof,63
cc_getmodelyof,940
cc_getgraphic,698
cc_param,313
cc_get2dangle,1159
cc_getmodel,415
cc_getgraphicdimensions,811
cc_getfontmetrics,805
cc_getinvobject,103
cc_getinvcount,1090
cc_getid,794
cc_gettargetmask,548
cc_getop,590
cc_getopbase,413
if_getx,412
if_gety,1091
if_getwidth,1245
if_getheight,519
if_gethide,993
if_getlayer,110
if_getparentlayer,1252
if_getcolour,871
if_getscrollx,1124
if_getscrolly,278
if_gettext,128
if_getscrollwidth,202
if_getscrollheight,1211
if_getmodelzoom,1025
if_getmodelangle_x,843
if_getmodelangle_z,471
if_getmodelangle_y,534
if_gettrans,272
if_getmodelxof,389
if_getmodelyof,1207
if_getgraphic,748
if_get2dangle,330
if_getmodel,596
if_getgraphicdimensions,996
if_getfontmetrics,914
if_getinvobject,400
if_getinvcount,566
if_hassub,667
if_getnextsubid,669
if_hassubmodal,685
if_hassuboverlay,946
if_gettargetmask,345
if_getop,833
if_getopbase,327
if_getcharindexatpos,611
if_getcharposatindex,1134
clientclock,1138
inv_getobj,671
inv_getnum,62
inv_total,1213
inv_totalcat,139
inv_size,567
inv_stockbase,161
inv_getvar,545
stat,373
stat_base,978
stat_visible_xp,963
stat_base_actual,650
stat_visible_xp_actual,1152
facing_fine,92
coord,1226
coordx,26
coordy,496
coordz,109
coordx_fine,540
coordy_fine,146
coordz_fine,326
coordlevel_fine,303
movecoord_fine,311
coord_gridtofine,135
map_members,882
map_preload,604
map_loadedpercent,739
invother_getobj,699
invother_getnum,248
staffmodlevel,1235
reboottimer,606
map_world,886
runenergy_visible,176
runweight_visible,59
playermod,593
playermodlevel,644
playermember,746
comlevel_active,615
gender,1238
map_quickchat,918
inv_freespace,394
inv_totalparam,662
map_lang,1015
movecoord,372
applet_hasfocus,920
frombilling,67
get_mousex,338
get_mousey,1155
get_active_minimenu_entry,1250
get_minimenu_length,782
npc_find_active_minimenu_entry,960
get_currentcursor,1107
get_mousebuttons,906
get_minimenu_target,1113
enum_string,197
enum,134
enum_hasoutput,964
enum_getoutputcount,378
enum_getreversecount,692
enum_getreverseindex,1129
friend_count,599
friend_getname,847
friend_getworld,827
friend_getrank,1175
friend_getnotes,1078
friend_getworldflags,1153
friend_test,42
friend_getworldname,465
clan_getchatdisplayname,285
clan_getchatcount,257
clan_getchatusername,595
clan_getchatuserworld,1231
clan_getchatuserrank,1151
clan_getchatminkick,301
clan_getchatrank,612
ignore_count,1068
ignore_getname,1032
ignore_getnotes,911
ignore_test,367
clan_isself,1217
clan_getchatownername,182
clan_getchatuserworldname,228
friend_platform,942
friend_getslotfromname,262
playercountry,138
clan_getchatusername_unfiltered,237
ignore_getname_unfiltered,1030
friend_is_referrer,61
friend_is_referred,1256
activeclansettings_find_listened,239
activeclansettings_find_affined,162
activeclansettings_getclanname,580
activeclansettings_getallowunaffined,870
activeclansettings_getranktalk,351
activeclansettings_getrankkick,815
activeclansettings_getaffinedcount,1082
activeclansettings_getaffineddisplayname,406
activeclansettings_getaffinedrank,969
activeclansettings_getbannedcount,456
activeclansettings_getbanneddisplayname,987
activeclansettings_getcurrentowner_slot,917
activeclansettings_getaffinedslot,1120
activeclansettings_getsortedaffinedslot,778
activeclanchannel_find_listened,84
activeclanchannel_find_affined,229
activeclanchannel_getclanname,842
activeclanchannel_getrankkick,717
activeclanchannel_getranktalk,476
activeclanchannel_getusercount,1220
activeclanchannel_getuserdisplayname,331
activeclanchannel_getuserrank,23
activeclanchannel_getuserworld,578
activeclanchannel_getuserslot,696
activeclanchannel_getsorteduserslot,863
clanprofile_find,851
stockmarket_getoffertype,468
stockmarket_getofferitem,661
stockmarket_getofferprice,442
stockmarket_getoffercount,551
stockmarket_getoffercompletedcount,840
stockmarket_getoffercompletedgold,866
stockmarket_isofferempty,543
stockmarket_isofferfinished,630
stockmarket_isofferadding,91
add,608
sub,1205
multiply,905
divide,366
random,775
randominc,1049
interpolate,1127
addpercent,673
setbit,427
clearbit,990
testbit,1259
modulo,1095
pow,1019
invpow,256
and,836
or,929
min,480
max,16
scale,856
random_sound_pitch,236
hsvtorgb,204
append_num,1080
append,251
append_signnum,264
get_col_tag,1063
lowercase,334
fromdate,772
text_gender,828
tostring,1249
compare,97
paraheight,374
parawidth,861
paraline,1233
text_switch,266
escape,1219
append_char,1181
char_isprintable,425
char_isalphanumeric,38
char_isnumeric,1260
string_length,547
substring,482
removetags,1130
string_indexof_char,610
string_indexof_string,85
char_tolowercase,41
char_touppercase,1164
tostring_localised,125
stringwidth,797
string_distance,86
format_datetime_from_minutes,408
clanforumqfc_tostring,1253
oc_name,475
oc_iop,74
oc_cost,163
oc_stackable,976
oc_category,293
oc_hasvarobj,704
oc_cert,99
oc_uncert,362
oc_wearpos,275
oc_wearpos2,556
oc_members,279
oc_param,568
oc_icursor,115
oc_find,319
oc_findnext,569
oc_minimenu_colour,613
nc_param,936
lc_param,72
struct_param,505
seqlength,29
bas_getanim_ready,461
chat_getfilter_public,261
chat_gethistory_byuid,307
chat_lastuid,509
chat_clear,73
chat_getfilter_private,1021
chat_playername,860
chat_getfilter_trade,235
chat_getnextuid,740
chat_getprevuid,1261
chat_playername_unfiltered,941
chatcat_getdesc,690
chatcat_getsubcatcount,561
chatcat_getsubcat,724
chatcat_getphrasecount,817
chatcat_getphrase,502
chatphrase_gettext,260
chatphrase_getautoresponsecount,438
chatphrase_getautoresponse,459
chatcat_getsubcatshortcut,183
chatphrase_getdynamiccommandcount,825
chatphrase_getdynamiccommand,44
chatphrase_getdynamiccommandparam_enum,838
chatphrase_find,992
chatphrase_findnext,337
keyheld_alt,1118
keyheld_ctrl,314
keyheld_shift,470
fullscreen_enter,624
fullscreen_modecount,466
fullscreen_getmode,1094
fullscreen_lastmode,1204
getwindowmode,909
getdefaultwindowmode,283
spline_length,1196
minimenuopen,126
getclipboard,1223
has_html5,1136
has_nxt,655
cam_getangle_xa,27
cam_getangle_ya,783
cam2_getcontrolmode,87
cam2_getlookatmode,25
cam2_getpositionmode,1088
cam2_getpositionentity_angleoffsets,381
cam2_addeffect_shake,268
cam2_addeffect_ztilt,708
cam2_isenabled,641
login_reply,715
login_hoptime,1201
login_ban_duration,1047
create_reply,384
create_email_validate_reply,1040
create_name_validate_reply,1036
create_suggest_name_reply,678
create_connect_reply,712
login_disallowresult,1005
lobby_entergamereply,837
lobby_enterlobbyreply,552
userflowflags,899
create_under13,684
login_last_transfer_reply,894
login_inprogress,58
login_queue_position,816
login_disallowtrigger,460
login_accountappeal,207
viewport_geteffectivesize,167
viewport_getzoom,1172
date_minutes,892
date_runeday,522
date_runeday_fromdate,1240
date_runeday_todate,192
date_minutes_fromruneday,521
worldlist_fetch,19
worldlist_start,263
worldlist_next,30
worldlist_switch,1146
worldlist_specific,1182
worldlist_specific_thisworld,654
if_gettop,642
mec_text,1103
mec_category,1232
mec_param,299
userdetail_quickchat,1011
userdetail_lobby_membership,306
userdetail_lobby_unreadmessages,353
userdetail_lobby_lastloginday,553
userdetail_lobby_emailstatus,755
userdetail_lobby_ccexpiry,1026
userdetail_lobby_graceexpiry,420
userdetail_dob,477
userdetail_lobby_playage,240
autosetup_dosetup,981
autosetup_getlevel,1000
video_advert_play,382
video_advert_has_finished,639
get_npc_vislevel,1154
get_entity_screen_position,0
if_get_gamescreen,15
if_set_gamescreen_enabled,930
get_entity_overlay_height,1003
get_npc_stat,910
is_npc_active,368
is_targeted_entity,771
npc_type,962
get_loc_screen_position,391
get_obj_screen_position,726
get_loc_overlay_height,868
get_obj_overlay_height,3
get_loc_bounding_box,623
get_obj_bounding_box,422
get_entity_bounding_box,120
quest_finished,13
sound_group_start,756
sound_group_stop,632
sound_vorbis_volume_rate_group,173
preload_percent,342
shader_preload_throttle,124
fps_stats,439
runjavascript,1255
worldmap_3dview_active,350
worldmap_3dview_getcoordfine,980
worldmap_getmap,269
worldmap_getmapname,341
worldmap_getsize,79
worldmap_getdisplayposition,238
worldmap_getconfigorigin,320
worldmap_getconfigbounds,934
worldmap_listelement_start,474
worldmap_listelement_next,1206
worldmap_coordinmap,1002
worldmap_getconfigzoom,1031
worldmap_isloaded,525
worldmap_getdisplaycoord,49
worldmap_getdisableelements,753
worldmap_getcurrentmap,10
player_group_find,398
player_group_member_count,1202
player_group_member_get_same_world_var,672
player_group_member_get_rank,213
player_group_member_get_team,734
player_group_member_get_last_seen_node_id,199
player_group_member_get_status,1100
player_group_member_is_online,310
player_group_member_get_displayname,101
player_group_member_get_join_xp,1023
player_group_member_is_owner,786
player_group_banned_count,448
player_group_banned_get_displayname,785
player_group_get_displayname,1056
player_group_get_max_size,806
player_group_get_overall_status,597
player_group_get_owner_slot,945
ttv_login,626
ttv_login_getstate,720
ttv_logout,267
ttv_library_getstate,735
ttv_library_request,1077
ttv_stream_getstate,315
ttv_stream_start,503
ttv_stream_stop,563
ttv_stream_settitle,511
ttv_stream_getviewers,591
ttv_stream_getquality,1104
ttv_chat_sendmessage,88
ttv_webcam_supported,43
ttv_webcam_getdevice_count,157
ttv_webcam_getdevice_byindex,531
ttv_webcam_getdevice_byuniquename,346
ttv_webcam_getcap_count,472
ttv_webcam_getcap_byindex,35
ttv_webcam_getcap_byuniqueid,1257
ttv_webcam_start,1009
ttv_webcam_stop,127
ttv_webcam_flip,401
ttv_livestreams_update,835
ttv_livestreams_getstream_start,810
ttv_livestreams_getstream_next,1013
ttv_hasprerequisites,738
os_ismac,915
os_iswindows,728
os_islinux,433
os_physicalmemorysize,1139
os_driver_outdated,1183
os_driver_vendor,234
telemetry_get_group_count,660
telemetry_get_group_index,577
telemetry_get_group_id,487
telemetry_get_row_count,1161
telemetry_get_row_index,523
telemetry_get_row_id,1180
telemetry_is_row_pinned,385
telemetry_get_column_count,145
telemetry_get_column_index,1041
telemetry_get_column_id,328
telemetry_get_grid_value,943
db_find,369
db_find_with_count,994
db_findnext,113
db_getfield,55
db_getfieldcount,876
detail_brightness,589
detail_removeroofs_option,1014
detail_grounddecor_on,664
detail_flickering_on,191
detail_spotshadows_on,1156
detail_hardshadows,131
detail_shadowquality,937
detail_lightdetail_high,171
detail_waterdetail_high,1147
detail_fog_on,729
detail_antialiasing,211
detail_antialiasing_quality,968
detail_stereo,68
detail_soundvol,865
detail_musicvol,1
detail_bgsoundvol,839
detail_removeroofs_option_override,530
detail_particles,1150
detail_antialiasing_default,939
detail_buildarea,186
detail_bloom,1117
detail_customcursors,380
detail_idleanims,1145
detail_groundblending,895
detail_toolkit,570
detail_toolkit_default,867
detail_cpuusage,93
detail_texturing,119
detail_maxscreensize,1064
detail_speechvol,489
detail_loginvol,927
detail_loadingscreentype,430
detail_drawdistance,1084
detail_skydetail,500
detailget_brightness,979
detailget_removeroofs_option,1198
detailget_grounddecor_on,814
detailget_flickering_on,488
detailget_spotshadows_on,70
detailget_hardshadows,187
detailget_shadowquality,118
detailget_lightdetail_high,967
detailget_waterdetail_high,586
detailget_fog_on,1234
detailget_antialiasing,504
detailget_antialiasing_quality,625
detailget_stereo,1171
detailget_soundvol,107
detailget_musicvol,1067
detailget_bgsoundvol,397
detailget_particles,723
detailget_antialiasing_default,721
detailget_bloom,462
detailget_idleanims,832
detailget_groundblending,493
detailget_toolkit,881
detailget_toolkit_default,1050
detailget_cpuusage,885
detailget_texturing,1073
detailget_maxscreensize,144
detailget_speechvol,258
detailget_loginvol,1029
detailget_safemode,510
detailget_canchoosesafemode,486
detailget_chosesafemode,221
detailget_skydetail,60
detailget_drawdistance,845
detailcanmod_grounddecor,18
detailcanmod_spotshadows,395
detailcanmod_hardshadows,357
detailcanmod_shadowquality,453
detailcanmod_waterdetail,514
detailcanmod_antialiasing,1048
detailcanmod_antialiasing_quality,549
detailcanmod_particles,687
detailcanmod_buildarea,409
detailcanmod_bloom,1237
detailcanmod_groundblending,417
detailcanmod_texturing,80
detailcanmod_maxscreensize,585
detailcanmod_toolkit_default,959
detailcanmod_skydetail,986
detailcanset_hardshadows,1044
detailcanset_shadowquality,273
detailcanset_waterdetail,619
detailcanset_antialiasing_quality,455
detailcanset_particles,363
detailcanset_buildarea,878
detailcanset_bloom,648
detailcanset_texturing,354
detailcanset_maxscreensize,1062
detailcanset_toolkit_default,231
detailcanset_skydetail,1184
detail_lightingquality,198
detail_antialiasingmode,970
detail_ambientocclusion,216
detail_reflections,1225
detail_vsync,792
detailget_lightingquality,143
detailget_antialiasingmode,955
detailget_ambientocclusion,399
detailget_reflections,573
detailget_vsync,1167
detailcanmod_lightingquality,404
detailcanmod_antialiasingmode,377
detailcanmod_ambientocclusion,177
detailcanmod_reflections,1135
detailcanmod_vsync,998
detailcanset_lightingquality,1262
detailcanset_antialiasingmode,901
detailcanset_ambientocclusion,1166
detailcanset_reflections,956
detailcanset_vsync,564
autosetup_setultra,1111
unknown_command_7,800
unknown_command_8,1203
autosetup_dosetupstatus,1230
