// Incomplete, bruteforced from opcodes-809-1183.txt
// Its gamepack jar is not among the 14 archived for build 808.
clan_getchatownername,43
clan_getchatuserworldname,1130
friend_platform,784
friend_getslotfromname,954
playercountry,670
clan_getchatusername_unfiltered,456
ignore_getname_unfiltered,875
friend_is_referrer,491
friend_is_referred,854
activeclansettings_find_listened,453
activeclansettings_find_affined,1026
activeclansettings_getclanname,1038
activeclansettings_getallowunaffined,645
activeclansettings_getranktalk,516
activeclansettings_getrankkick,59
activeclansettings_getaffinedcount,606
activeclansettings_getaffineddisplayname,418
activeclansettings_getaffinedrank,49
activeclansettings_getbannedcount,433
activeclansettings_getbanneddisplayname,899
activeclansettings_getcurrentowner_slot,741
activeclansettings_getaffinedslot,818
activeclansettings_getsortedaffinedslot,705
activeclanchannel_find_listened,168
activeclanchannel_find_affined,325
activeclanchannel_getclanname,47
activeclanchannel_getrankkick,454
activeclanchannel_getranktalk,782
activeclanchannel_getusercount,565
activeclanchannel_getuserdisplayname,906
activeclanchannel_getuserrank,220
activeclanchannel_getuserworld,496
activeclanchannel_getuserslot,883
activeclanchannel_getsorteduserslot,317
clanprofile_find,358
stockmarket_getoffertype,813
stockmarket_getofferitem,65
stockmarket_getofferprice,70
stockmarket_getoffercount,653
stockmarket_getoffercompletedcount,799
stockmarket_getoffercompletedgold,589
stockmarket_isofferempty,205
stockmarket_isofferfinished,377
stockmarket_isofferadding,101
add,801
sub,739
multiply,11
divide,111
random,362
randominc,871
interpolate,858
setbit,1058
clearbit,715
testbit,1016
modulo,1114
pow,555
invpow,38
and,188
or,640
min,829
max,1014
scale,239
random_sound_pitch,927
hsvtorgb,951
append_num,391
append,499
append_signnum,817
get_col_tag,93
lowercase,99
fromdate,688
tostring,535
compare,215
paraheight,505
parawidth,1043
text_switch,894
escape,8
append_char,316
char_isprintable,247
char_isalphanumeric,427
char_isnumeric,809
string_length,421
substring,336
removetags,1023
string_indexof_char,649
string_indexof_string,740
char_tolowercase,794
char_touppercase,832
tostring_localised,413
stringwidth,31
string_distance,1007
format_datetime_from_minutes,474
