// Cache 1524 is an incomplete capture and is not in caches.txt: OpenRS2 returns 404 for
// archive 12 group 4862, so it cannot be unpacked and this table cannot be verified.
writeconsole,880
formatminimenu,47
defaultminimenu,508
setdefaultcursors,802
sethardcodedopcursors,281
docheat,659
notify_accountcreated,1114
notify_accountcreatestarted,477
setsubmenuminlength,71
openurl_shim,528
cam_moveto,382
cam_lookat,252
cam_movealong,743
cam_reset,537
cam_forceangle,121
cam_inc_x,425
cam_dec_x,328
cam_inc_y,1117
cam_dec_y,43
cam_setfollowheight,189
cam_followcoord,236
cam_smoothreset,1155
cam_removeroof,179
cam2_setlookatmode,200
cam2_setpositionmode,285
cam2_setlookatacceleration,1057
cam2_setpositionacceleration,122
cam2_setlookatmaxspeed,213
cam2_setpositionmaxspeed,279
cam2_setdepthplanes,658
cam2_setfieldofview,1103
cam2_setlookatpoint_point,1144
cam2_setpositionpoint_point,380
cam2_getpositionpoint_point,598
cam2_setlookatentity_player,1068
cam2_setlookatentity_npc,717
cam2_setpositionentity_player,260
cam2_setpositionentity_npc,190
cam2_setfieldofviewscreen,283
cam2_setpositionspline_spline,418
cam2_setlookatspline_spline,688
cam2_removeeffect,560
cam2_removealleffects,438
cam2_setlookatacceleration_axis,797
cam2_setpositionacceleration_axis,36
cam2_setlookatmaxspeed_axis,764
cam2_setpositionmaxspeed_axis,968
cam2_setcollisionmode,719
cam2_setpositionpointcollision,211
cam2_updateeffect_ztilt,531
cam2_settraildistance,603
cam2_setlinearmovementmode,390
cam2_setspringproperties,42
cam2_setlookatangularinterpolation,683
cam2_setpositionangularinterpolation,626
cam2_setlookatspringproperties,668
cam2_setpositionspringproperties,147
cam2_enable,750
cam2_setsnapdistances,981
cam2_resetsnapdistances,1055
login_request,163
cam2_setlookatorientation_vector,715
cam2_setlookatorientation_xrotation,5
cam2_setlookatorientation_yrotation,830
cam2_setlookatorientation_xmovement,987
cam2_setlookatorientation_zmovement,228
cam2_setlookatorientation_maxdistanceclamping,57
login_continue,262
login_resetreply,872
resend_uid_passport_request,311
create_availablerequest,162
create_name_availablerequest,965
create_suggest_name_request,748
create_createrequest,373
create_connectrequest,15
create_step_reached,33
lobby_entergame,302
lobby_enterlobby,27
lobby_leavelobby,84
create_setunder13,638
login_cancel,845
login_request_social_network,475
lobby_enterlobby_social_network,70
detail_brightness,610
detail_removeroofs_option,966
detail_grounddecor_on,709
detail_idleanims_many,310
detail_flickering_on,6
detail_spotshadows_on,726
detail_hardshadows,654
detail_shadowquality,1104
detail_lightdetail_high,556
detail_waterdetail_high,1148
detail_fog_on,813
detail_antialiasing,40
detail_antialiasing_quality,151
detail_stereo,771
detail_soundvol,1130
detail_musicvol,835
detail_bgsoundvol,631
detail_removeroofs_option_override,970
detail_particles,677
