// Incomplete, bruteforced from opcodes-799-1515.txt and opcodes-800-572.txt
comlevel_active,225
gender,745
map_quickchat,865
inv_freespace,326
inv_totalparam,901
map_lang,1053
movecoord,288
applet_hasfocus,525
frombilling,915
get_mousex,180
get_mousey,176
get_active_minimenu_entry,1114
get_minimenu_length,300
npc_find_active_minimenu_entry,1013
player_find_active_minimenu_entry,1043
get_currentcursor,647
get_mousebuttons,359
get_minimenu_target,852
enum_string,583
enum,284
enum_hasoutput,969
enum_getoutputcount,970
enum_getreversecount,947
enum_getreverseindex,562
friend_count,912
friend_getname,578
friend_getworld,670
friend_getrank,36
friend_getnotes,934
friend_getworldflags,430
friend_test,306
friend_getworldname,190
clan_getchatdisplayname,779
clan_getchatcount,962
clan_getchatusername,712
clan_getchatuserworld,930
clan_getchatuserrank,762
clan_getchatminkick,141
clan_getchatrank,336
ignore_count,49
ignore_getname,627
ignore_getnotes,786
ignore_test,674
clan_isself,60
clan_getchatownername,505
clan_getchatuserworldname,597
friend_platform,642
friend_getslotfromname,549
playercountry,523
clan_getchatusername_unfiltered,235
ignore_getname_unfiltered,1080
friend_is_referrer,274
friend_is_referred,690
activeclansettings_find_listened,668
activeclansettings_find_affined,892
activeclansettings_getclanname,639
activeclansettings_getallowunaffined,1008
activeclansettings_getranktalk,212
activeclansettings_getrankkick,42
activeclansettings_getaffinedcount,76
activeclansettings_getaffineddisplayname,234
activeclansettings_getaffinedrank,277
activeclansettings_getbannedcount,803
activeclansettings_getbanneddisplayname,411
activeclansettings_getcurrentowner_slot,881
activeclansettings_getaffinedslot,281
activeclansettings_getsortedaffinedslot,24
activeclanchannel_find_listened,20
activeclanchannel_find_affined,718
activeclanchannel_getclanname,766
activeclanchannel_getrankkick,489
activeclanchannel_getranktalk,226
activeclanchannel_getusercount,1103
activeclanchannel_getuserdisplayname,138
activeclanchannel_getuserrank,1029
activeclanchannel_getuserworld,386
activeclanchannel_getuserslot,1066
activeclanchannel_getsorteduserslot,700
clanprofile_find,350
stockmarket_getoffertype,807
stockmarket_getofferitem,913
stockmarket_getofferprice,348
stockmarket_getoffercount,177
stockmarket_getoffercompletedcount,114
stockmarket_getoffercompletedgold,379
stockmarket_isofferempty,338
stockmarket_isofferfinished,230
stockmarket_isofferadding,687
add,263
sub,780
multiply,352
divide,986
random,953
randominc,961
interpolate,378
setbit,1105
clearbit,799
testbit,710
modulo,1135
pow,616
invpow,461
and,1027
or,864
min,1101
max,921
scale,630
random_sound_pitch,173
hsvtorgb,463
append_num,1041
append,178
append_signnum,1071
get_col_tag,625
lowercase,564
fromdate,254
tostring,709
compare,827
paraheight,1126
parawidth,685
text_switch,18
escape,620
append_char,38
char_isprintable,1089
char_isalphanumeric,293
char_isnumeric,733
string_length,995
substring,244
removetags,412
string_indexof_char,1067
string_indexof_string,607
char_tolowercase,100
char_touppercase,447
tostring_localised,389
stringwidth,1129
string_distance,171
format_datetime_from_minutes,552
clanforumqfc_tostring,830
oc_name,273
oc_iop,110
oc_cost,877
oc_stackable,122
oc_category,476
oc_cert,869
oc_uncert,331
oc_wearpos,983
oc_wearpos2,847
oc_members,638
oc_param,53
oc_icursor,924
oc_find,421
oc_findnext,867
oc_minimenu_colour,650
nc_param,355
struct_param,1143
seqlength,528
bas_getanim_ready,75
chat_gethistory_byuid,963
chat_getfilter_private,711
chat_playername,1019
chat_getfilter_trade,404
chat_getnextuid,968
chat_getprevuid,55
chat_playername_unfiltered,493
chatcat_getdesc,216
chatcat_getsubcatcount,64
chatcat_getsubcat,90
chatcat_getphrasecount,866
chatcat_getphrase,332
chatphrase_gettext,812
chatphrase_getautoresponsecount,290
chatphrase_getautoresponse,1039
chatcat_getsubcatshortcut,63
chatphrase_getdynamiccommandcount,371
chatphrase_getdynamiccommand,146
chatphrase_getdynamiccommandparam_enum,1020
chatphrase_find,314
chatphrase_findnext,870
keyheld_alt,68
keyheld_ctrl,387
keyheld_shift,1005
worldmap_3dview_active,25
worldmap_3dview_getcoordfine,1091
worldmap_getmap,241
worldmap_getmapname,7
worldmap_getsize,243
worldmap_getdisplayposition,629
worldmap_getconfigorigin,207
worldmap_getconfigbounds,808
worldmap_listelement_start,87
worldmap_listelement_next,410
worldmap_coordinmap,574
worldmap_getconfigzoom,256
worldmap_isloaded,196
worldmap_getdisplaycoord,319
worldmap_getdisableelements,164
worldmap_getcurrentmap,593
fullscreen_enter,1012
fullscreen_modecount,70
fullscreen_getmode,951
fullscreen_lastmode,318
getwindowmode,610
getdefaultwindowmode,341
spline_length,632
minimenuopen,716
getclipboard,617
java_version_supported,966
has_html5,514
cam_getangle_xa,340
cam_getangle_ya,214
cam2_getcontrolmode,349
cam2_getlookatmode,62
cam2_getpositionmode,242
cam2_getpositionentity_angleoffsets,481
cam2_addeffect_shake,259
cam2_addeffect_ztilt,127
cam2_isenabled,205
login_hoptime,672
login_ban_duration,879
create_reply,132
create_email_validate_reply,84
create_name_validate_reply,929
create_suggest_name_reply,147
create_connect_reply,790
login_disallowresult,485
lobby_entergamereply,93
lobby_enterlobbyreply,1127
has_signonkey,1048
userflowflags,1015
create_under13,472
login_last_transfer_reply,1062
login_inprogress,217
login_queue_position,602
login_disallowtrigger,156
login_accountappeal,939
detailget_brightness,985
detailget_removeroofs_option,380
detailget_grounddecor_on,315
detailget_flickering_on,1124
detailget_spotshadows_on,928
detailget_hardshadows,904
detailget_lightdetail_high,920
detailget_waterdetail_high,1044
detailget_fog_on,691
detailget_antialiasing,1004
detailget_antialiasing_quality,956
detailget_stereo,67
detailget_soundvol,804
detailget_musicvol,933
detailget_bgsoundvol,1140
detailget_particles,446
detailget_antialiasing_default,399
detailget_bloom,516
detailget_idleanims,422
detailget_groundblending,689
detailget_toolkit,395
detailget_toolkit_default,198
detailget_cpuusage,488
detailget_texturing,821
detailget_maxscreensize,945
detailget_speechvol,361
detailget_loginvol,848
detailget_safemode,297
detailget_canchoosesafemode,504
detailget_chosesafemode,815
detailget_skydetail,717
detailget_drawdistance,443
viewport_geteffectivesize,507
date_minutes,729
date_runeday,1042
date_runeday_fromdate,377
date_runeday_todate,142
date_minutes_fromruneday,744
worldlist_fetch,144
worldlist_start,272
worldlist_next,628
worldlist_switch,454
worldlist_specific,406
worldlist_specific_thisworld,417
mec_text,972
userdetail_quickchat,33
userdetail_lobby_membership,1078
userdetail_lobby_recoveryday,519
userdetail_lobby_unreadmessages,1087
userdetail_lobby_lastloginday,605
userdetail_lobby_emailstatus,974
userdetail_lobby_ccexpiry,581
userdetail_lobby_graceexpiry,623
userdetail_dob,910
userdetail_lobby_playage,157
autosetup_dosetup,376
autosetup_getlevel,708
video_advert_play,783
video_advert_has_finished,29
boost_advert_exists,693
boost_advert_available,795
detailcanmod_grounddecor,466
detailcanmod_spotshadows,469
detailcanmod_hardshadows,637
detailcanmod_antialiasing,611
detailcanmod_antialiasing_quality,777
detailcanmod_particles,228
detailcanmod_buildarea,291
detailcanmod_bloom,858
detailcanmod_groundblending,130
detailcanmod_texturing,183
detailcanmod_maxscreensize,841
detailcanmod_toolkit_default,109
detailcanmod_skydetail,704
detailcanset_antialiasing_quality,1108
detailcanset_particles,655
detailcanset_buildarea,15
detailcanset_maxscreensize,849
detailcanset_toolkit_default,32
detailcanset_skydetail,1022
get_npc_vislevel,118
get_entity_screen_position,1131
if_get_gamescreen,889
if_set_gamescreen_enabled,737
get_entity_overlay_height,23
get_npc_stat,199
is_targeted_entity,595
npc_type,308
get_loc_screen_position,800
get_obj_screen_position,730
get_loc_overlay_height,940
get_obj_overlay_height,834
get_loc_bounding_box,996
get_obj_bounding_box,152
get_entity_bounding_box,251
quest_finished,656
sound_group_start,405
sound_group_stop,946
sound_vorbis_volume_rate_group,544
preload_percent,239
shader_preload_throttle,271
fps_stats,459
runjavascript,839
