// Cache 2007 is German and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 810 is still covered by 2004.
get_obj_screen_position,745
get_loc_overlay_height,726
get_obj_overlay_height,883
get_loc_bounding_box,362
get_obj_bounding_box,42
get_entity_bounding_box,415
quest_finished,662
sound_group_start,962
sound_group_stop,709
sound_vorbis_volume_rate_group,741
preload_percent,489
shader_preload_throttle,496
fps_stats,368
runjavascript,970
