// Cache 1051 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; it is the only table for build 844.
worldmap_3dview_enable,35
worldmap_3dview_disable,59
worldmap_3dview_setloddistance,373
worldmap_setcategorypriority,1091
worldmap_3dview_settextfont,1168
worldmap_disabletextsize,84
worldmap_disabletype,566
worldmap_3dview_setlighting,421
worldmap_setzoom,116
worldmap_setmap,270
worldmap_jumptosourcecoord,375
worldmap_jumptodisplaycoord,817
worldmap_setmap_coord,185
worldmap_flashelement,592
worldmap_setmap_coord_override,908
worldmap_disableelements,721
worldmap_flashelementcategory,261
worldmap_disableelementcategory,1134
worldmap_disableelement,1074
worldmap_closemap,21
fullscreen_exit,882
setwindowmode,733
setdefaultwindowmode,403
openurl,287
urlencode,1053
spline_new,541
spline_addpoint,841
quit,1204
openurl_nologin,655
writeconsole,9
formatminimenu,177
defaultminimenu,454
setdefaultcursors,901
sethardcodedopcursors,1078
docheat,639
notify_accountcreated,87
notify_accountcreatestarted,199
setsubmenuminlength,921
openurl_shim,389
cam_moveto,432
cam_lookat,1038
cam_movealong,564
cam_reset,955
cam_forceangle,1001
cam_inc_x,341
cam_dec_x,992
cam_inc_y,1059
cam_dec_y,1048
cam_setfollowheight,398
cam_followcoord,526
cam_smoothreset,291
cam_removeroof,815
cam2_setlookatmode,1116
cam2_setpositionmode,282
cam2_setlookatacceleration,22
cam2_setpositionacceleration,12
cam2_setlookatmaxspeed,734
cam2_setpositionmaxspeed,299
cam2_setdepthplanes,546
cam2_setfieldofview,941
cam2_setlookatpoint_point,332
cam2_setpositionpoint_point,94
cam2_getpositionpoint_point,144
cam2_setlookatentity_player,579
cam2_setlookatentity_npc,684
cam2_setpositionentity_player,514
cam2_setpositionentity_npc,804
cam2_setfieldofviewscreen,981
cam2_setpositionspline_spline,346
cam2_setlookatspline_spline,787
cam2_removeeffect,1152
cam2_removealleffects,1034
cam2_setlookatacceleration_axis,926
cam2_setpositionacceleration_axis,127
cam2_setlookatmaxspeed_axis,537
cam2_setpositionmaxspeed_axis,370
cam2_setcollisionmode,166
cam2_setpositionpointcollision,62
cam2_updateeffect_ztilt,821
cam2_settraildistance,295
cam2_setlinearmovementmode,361
cam2_setspringproperties,903
cam2_setlookatangularinterpolation,347
cam2_setpositionangularinterpolation,843
cam2_setlookatspringproperties,699
cam2_setpositionspringproperties,1044
cam2_enable,1198
cam2_setsnapdistances,1105
cam2_resetsnapdistances,92
login_request,1035
cam2_setlookatorientation_vector,1199
cam2_setlookatorientation_xrotation,858
cam2_setlookatorientation_yrotation,713
cam2_setlookatorientation_xmovement,1195
cam2_setlookatorientation_zmovement,1068
cam2_setlookatorientation_maxdistanceclamping,289
login_continue,1087
login_resetreply,574
resend_uid_passport_request,894
create_availablerequest,844
create_name_availablerequest,477
create_suggest_name_request,117
create_createrequest,180
create_connectrequest,197
create_step_reached,458
lobby_entergame,331
lobby_enterlobby,100
lobby_leavelobby,385
create_setunder13,630
login_cancel,130
login_request_social_network,527
lobby_enterlobby_social_network,497
detail_brightness,492
detail_removeroofs_option,885
detail_grounddecor_on,377
