// Incomplete, bruteforced from opcodes-891-1239.txt and opcodes-910-1730.txt and opcodes-883-596.txt
clan_getchatcount,718
clan_getchatusername,176
clan_getchatuserworld,148
clan_getchatuserrank,1199
clan_getchatminkick,658
clan_getchatrank,640
ignore_count,1075
ignore_getname,230
ignore_getnotes,1018
ignore_test,439
clan_isself,628
clan_getchatownername,166
clan_getchatuserworldname,406
friend_platform,634
friend_getslotfromname,1125
playercountry,407
clan_getchatusername_unfiltered,76
ignore_getname_unfiltered,204
friend_is_referrer,122
friend_is_referred,408
activeclansettings_find_listened,83
activeclansettings_find_affined,88
activeclansettings_getclanname,320
activeclansettings_getallowunaffined,1251
activeclansettings_getranktalk,635
activeclansettings_getrankkick,123
activeclansettings_getaffinedcount,509
activeclansettings_getaffineddisplayname,600
activeclansettings_getaffinedrank,1142
activeclansettings_getbannedcount,322
activeclansettings_getbanneddisplayname,262
activeclansettings_getcurrentowner_slot,209
activeclansettings_getaffinedslot,180
activeclansettings_getsortedaffinedslot,565
activeclanchannel_find_listened,694
activeclanchannel_find_affined,1243
activeclanchannel_getclanname,733
activeclanchannel_getrankkick,363
activeclanchannel_getranktalk,380
activeclanchannel_getusercount,45
activeclanchannel_getuserdisplayname,404
activeclanchannel_getuserrank,1135
activeclanchannel_getuserworld,677
activeclanchannel_getuserslot,1133
activeclanchannel_getsorteduserslot,467
clanprofile_find,218
stockmarket_getoffertype,305
stockmarket_getofferitem,730
stockmarket_getofferprice,1295
stockmarket_getoffercount,392
stockmarket_getoffercompletedcount,177
stockmarket_getoffercompletedgold,800
stockmarket_isofferempty,1225
stockmarket_isofferfinished,1085
stockmarket_isofferadding,793
add,518
sub,15
multiply,1099
divide,1054
random,1153
randominc,340
interpolate,373
addpercent,665
setbit,1285
clearbit,1056
testbit,1176
modulo,301
pow,87
invpow,1282
and,627
or,489
min,354
max,771
scale,1077
bitcount,897
setbit_range,197
getbit_range,523
random_sound_pitch,743
hsvtorgb,490
not,530
append_num,660
append,450
append_signnum,1037
get_col_tag,478
lowercase,1219
fromdate,146
tostring,208
compare,758
paraheight,876
parawidth,266
paraline,199
text_switch,940
escape,316
append_char,529
char_isprintable,84
char_isalphanumeric,938
char_isnumeric,929
string_length,1025
substring,1115
removetags,890
string_indexof_char,185
string_indexof_string,1091
char_tolowercase,554
char_touppercase,927
tostring_localised,747
stringwidth,421
string_distance,944
format_datetime_from_minutes,127
clanforumqfc_tostring,1169
oc_name,564
oc_iop,473
oc_cost,898
oc_stackable,1014
oc_category,318
oc_hasvarobj,1248
oc_cert,657
oc_uncert,865
oc_wearpos,881
oc_wearpos2,391
oc_members,729
oc_param,980
oc_icursor,29
oc_find,0
oc_findnext,1228
oc_minimenu_colour,30
oc_tradeable,887
nc_param,567
lc_param,415
struct_param,112
seqlength,544
bas_getanim_ready,423
chat_getfilter_public,632
chat_gethistory_byuid,728
chat_lastuid,524
chat_clear,440
chat_getfilter_private,321
chat_playername,1224
chat_getfilter_trade,28
chat_getnextuid,92
chat_getprevuid,867
chat_playername_unfiltered,765
chatcat_getdesc,945
chatcat_getsubcatcount,475
