// Cache 684 is Spanish and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 815 is still covered by 319, 485 and 1615.
if_getfontmetrics,477
if_getinvobject,259
if_getinvcount,883
if_hassub,1093
if_getnextsubid,1115
if_hassubmodal,939
if_hassuboverlay,311
if_gettargetmask,241
if_getop,530
if_getopbase,878
if_getcharindexatpos,1117
if_getcharposatindex,195
clientclock,750
inv_getobj,867
inv_getnum,658
inv_total,417
inv_totalcat,156
inv_size,227
inv_stockbase,1103
stat,6
stat_base,1025
stat_visible_xp,630
stat_base_actual,877
stat_visible_xp_actual,113
facing_fine,416
coord,45
coordx,471
coordy,198
coordz,366
coord_fine,643
coordx_fine,1166
coordy_fine,1039
coordz_fine,69
coordlevel_fine,73
movecoord_fine,1097
coord_gridtofine,1061
coord_finetogrid,720
self_routelength,932
self_route,292
map_members,941
map_preload,16
map_loadedpercent,1171
invother_getobj,972
invother_getnum,703
invother_total,424
staffmodlevel,951
reboottimer,1195
map_world,1129
runenergy_visible,528
runweight_visible,428
playermod,488
playermodlevel,789
playermember,749
comlevel_active,493
gender,100
map_quickchat,443
inv_freespace,348
inv_totalparam,895
inv_totalparam_stack,1046
map_lang,1142
movecoord,390
affiliate,1144
profile_cpu,934
playerdemo,284
applet_hasfocus,702
frombilling,1123
get_mousex,289
get_mousey,788
get_active_minimenu_entry,110
get_second_minimenu_entry,342
get_minimenu_length,359
npc_find_active_minimenu_entry,1106
player_find_active_minimenu_entry,242
get_currentcursor,859
get_selfyangle,976
map_isowner,946
get_mousebuttons,382
self_player_uid,46
get_minimenu_target,947
enum_string,981
enum,286
enum_hasoutput,768
enum_hasoutput_string,180
enum_getoutputcount,896
enum_getreversecount,279
enum_getreversecount_string,525
enum_getreverseindex,184
enum_getreverseindex_string,937
friend_count,1011
friend_getname,396
friend_getworld,473
friend_getrank,660
friend_getnotes,661
friend_getworldflags,902
friend_test,882
friend_getworldname,1077
clan_getchatdisplayname,532
clan_getchatcount,434
clan_getchatusername,559
clan_getchatuserworld,376
clan_getchatuserrank,617
clan_getchatminkick,326
clan_getchatrank,555
ignore_count,757
ignore_getname,27
ignore_getnotes,853
ignore_test,526
clan_isself,461
clan_getchatownername,129
clan_getchatuserworldname,599
friend_platform,900
friend_getslotfromname,945
ignore_getslotfromname,762
playercountry,1089
ignore_is_temp,1020
clan_getchatusername_unfiltered,827
ignore_getname_unfiltered,651
friend_is_referrer,232
friend_is_referred,15
